annee;otefdd_coef17;lib_oteft;n_exploit;sau_ha;ugb;etp;pbs
2010;1500;céréales et/ou oléoprotéagineux;57;1639,9;25,252;38,7130146;1545,80817
2010;1600;autres grandes cultures;33;449,87;-999;16,9612445;542,11144
2010;2800;légumes ou champignons;-999;-999;0;-999;-999
2010;2900;fleurs et/ou horticulture diverse;-999;-999;0;-999;-999
2010;3900;fruits ou autres cultures permanentes;-999;-999;-999;-999;-999
2010;4500;bovins lait;27;1035,07;2228,684;47,7780704;2897,02587
2010;4600;bovins viande;157;6059,73;10541,939;200,9886516;9453,22732
2010;4700;bovins mixtes;9;350,6;706,5;13,3992383;853,33355
2010;4813;ovins ou caprins;183;7430,03;14172,275;291,0895318;15392,78682
2010;4840;équidés et/ou autres herbivores;11;208,53;478,386;11,2980349;479,3515
2010;5100;porcins;17;276,93;3608,825;29,8593969;4034,88334
2010;5200;volailles;25;246,96;1007,182;24,978181;2504,05181
2010;5374;combinaisons de granivores (porcins, volailles);27;938,21;2117,184;41,2567369;3321,67074
2010;6184;polyculture et/ou polyélevage;91;3412,12;3927,598;112,885915;6420,76488
2020;1500;céréales et/ou oléoprotéagineux;72;2156,95;68,596;43,208254;1851,61484
2020;1600;autres grandes cultures;31;449,21;6,916;12,25;84,98386
2020;2800;légumes ou champignons;4;19,8;-999;7,4016667;171,8218
2020;2900;fleurs et/ou horticulture diverse;4;9,66;-999;7,77;365,55976
2020;3900;fruits ou autres cultures permanentes;5;9,78;-999;2;75,06212
2020;4500;bovins lait;14;720,86;1490,238;20,5088889;1814,62047
2020;4600;bovins viande;120;5493,6;8951,947;150,0163492;8012,01827
2020;4700;bovins mixtes;5;169,46;365,934;5,75;433,04067
2020;4813;ovins ou caprins;163;6924,25;12609,641;235,5280159;13869,5154
2020;4840;équidés et/ou autres herbivores;8;140,51;176,22;4,25;219,65411
2020;5100;porcins;11;237,5;2890,37;23,9527778;2933,05543
2020;5200;volailles;30;708,44;2574,732;42,9116667;5125,80318
2020;5374;combinaisons de granivores (porcins, volailles);12;643,59;1552,752;19,035;1876,10347
2020;6184;polyculture et/ou polyélevage;73;3651,85;3765,148;97,0329365;6379,17414
