annee;otefdd_coef17;lib_oteft;n_exploit;sau_ha;ugb;etp;pbs
2010;1500;céréales et/ou oléoprotéagineux;185;4486,12;205,854;117,3103146;4195,39631
2010;1600;autres grandes cultures;263;3052,32;85,564;172,3560122;1027,30802
2010;2800;légumes ou champignons;24;183,91;41,366;45,5164893;1678,55271
2010;2900;fleurs et/ou horticulture diverse;24;182,02;42,32;94,2120552;11363,26049
2010;3500;viticulture;33;504,82;362,003;53,2072599;3534,60099
2010;3900;fruits ou autres cultures permanentes;38;529,59;99,942;59,1994607;4603,65531
2010;4500;bovins lait;239;8940,92;17099,683;401,7387397;22791,26552
2010;4600;bovins viande;775;22262,79;32878,511;835,7172143;27879,08
2010;4700;bovins mixtes;52;2097,37;3801,135;76,9258545;4462,91017
2010;4813;ovins ou caprins;1926;61458,77;127794,018;2910,9949328;140123,773192
2010;4840;équidés et/ou autres herbivores;314;6277,85;10852,945;303,3535918;11468,07369
2010;5100;porcins;38;841,82;8080,772;72,0200592;9638,13714
2010;5200;volailles;106;1697,44;6742,997;134,2008462;19152,57791
2010;5374;combinaisons de granivores (porcins, volailles);92;2544,78;6371,663;129,2668536;8514,357384
2010;6184;polyculture et/ou polyélevage;344;9333,97;11452,277;426,0436425;20934,36553
2010;9000;non classées;-999;-999;0;-999;-999
2020;1500;céréales et/ou oléoprotéagineux;198;5432,36;278,106;127,6703968;4704,595
2020;1600;autres grandes cultures;310;3199,82;31,612;207,0462698;940,3074
2020;2800;légumes ou champignons;49;458,27;199,707;87,797381;4712,4660578
2020;2900;fleurs et/ou horticulture diverse;37;412,96;121,834;135,9430159;6781,3395044
2020;3500;viticulture;32;506,56;342,942;66,7219048;3952,46869
2020;3900;fruits ou autres cultures permanentes;46;291,46;59,466;57,607619;2313,48691
2020;4500;bovins lait;122;5465,65;10292,159;202,2447619;13611,63813
2020;4600;bovins viande;627;20899,18;29972,797;679,1549206;25492,09741
2020;4700;bovins mixtes;50;1770,97;3472,82;64,5031746;3841,32811
2020;4813;ovins ou caprins;1664;60980,39;122930,782;2455,8676984;133275,3173
2020;4840;équidés et/ou autres herbivores;240;5698,01;10514,077;258,5550794;11226,43684
2020;5100;porcins;33;605,49;8794,008;72,5604762;7677,83255
2020;5200;volailles;92;2344,23;10148,197;151,1905556;20731,11546
2020;5374;combinaisons de granivores (porcins, volailles);40;1559,28;3530,12;76,0201587;4756,02999
2020;6184;polyculture et/ou polyélevage;234;9913,26;10305,395;366,7134921;20546,72595
2020;9000;non classées;3;14,09;0;0,625;0
