codgeo;libgeo;otefdd_coef17;otex_fts;
64008;Ahaxe-Alciette-Bascassan;4813;ovins ou caprins;
64009;Ahetze;4700;bovins mixtes;
64010;Aïcirits-Camou-Suhast;6184;polyculture et/ou polyélevage;
64011;Aincille;4813;ovins ou caprins;
64012;Ainharp;4813;ovins ou caprins;
64013;Ainhice-Mongelos;4813;ovins ou caprins;
64014;Ainhoa;4813;ovins ou caprins;
64015;Alçay-Alçabéhéty-Sunharette;4813;ovins ou caprins;
64016;Aldudes;4813;ovins ou caprins;
64017;Alos-Sibas-Abense;4813;ovins ou caprins;
64018;Amendeuix-Oneix;4700;bovins mixtes;
64019;Amorots-Succos;4813;ovins ou caprins;
64024;Anglet;2900;fleurs et/ou horticulture diverse;
64026;Anhaux;4813;ovins ou caprins;
64031;Arancou;1500;céréales et/ou oléoprotéagineux;
64034;Arbérats-Sillègue;6184;polyculture et/ou polyélevage;
64035;Arbonne;6184;polyculture et/ou polyélevage;
64036;Arbouet-Sussaute;6184;polyculture et/ou polyélevage;
64038;Arcangues;6184;polyculture et/ou polyélevage;
64045;Arhansus;6184;polyculture et/ou polyélevage;
64046;Armendarits;4813;ovins ou caprins;
64047;Arnéguy;4813;ovins ou caprins;
64049;Aroue-Ithorots-Olhaïby;4600;bovins viande;
64050;Arrast-Larrebieu;4813;ovins ou caprins;
64051;Arraute-Charritte;6184;polyculture et/ou polyélevage;
64065;Ascain;4840;équidés et/ou autres herbivores;
64066;Ascarat;4813;ovins ou caprins;
64081;Aussurucq;4813;ovins ou caprins;
64086;Ayherre;4813;ovins ou caprins;
64092;Banca;4813;ovins ou caprins;
64093;Barcus;4813;ovins ou caprins;
64094;Bardos;6184;polyculture et/ou polyélevage;
64100;Bassussarry;6184;polyculture et/ou polyélevage;
64102;Bayonne;2900;fleurs et/ou horticulture diverse;
64105;Béguios;6184;polyculture et/ou polyélevage;
64106;Béhasque-Lapiste;6184;polyculture et/ou polyélevage;
64107;Béhorléguy;4813;ovins ou caprins;
64113;Bergouey-Viellenave;6184;polyculture et/ou polyélevage;
64115;Berrogain-Laruns;4813;ovins ou caprins;
64120;Beyrie-sur-Joyeuse;4813;ovins ou caprins;
64122;Biarritz;2800;légumes ou champignons;
64123;Bidache;5374;combinaisons de granivores (porcins, volailles);
64124;Bidarray;4813;ovins ou caprins;
64125;Bidart;6184;polyculture et/ou polyélevage;
64130;Biriatou;6184;polyculture et/ou polyélevage;
64134;Bonloc;4813;ovins ou caprins;
64140;Boucau;1500;céréales et/ou oléoprotéagineux;
64147;Briscous;4813;ovins ou caprins;
64150;Bunus;4813;ovins ou caprins;
64154;Bussunarits-Sarrasquette;4813;ovins ou caprins;
64155;Bustince-Iriberry;4813;ovins ou caprins;
64160;Cambo-les-Bains;6184;polyculture et/ou polyélevage;
64161;Came;6184;polyculture et/ou polyélevage;
64162;Camou-Cihigue;4813;ovins ou caprins;
64166;Caro;4600;bovins viande;
64187;Charritte-de-Bas;6184;polyculture et/ou polyélevage;
64188;Chéraute;4813;ovins ou caprins;
64189;Ciboure;6184;polyculture et/ou polyélevage;
64202;Domezain-Berraute;6184;polyculture et/ou polyélevage;
64213;Espelette;4813;ovins ou caprins;
64214;Espès-Undurein;4700;bovins mixtes;
64218;Estérençuby;4813;ovins ou caprins;
64221;Etcharry;4600;bovins viande;
64222;Etchebar;4813;ovins ou caprins;
64228;Gabat;5374;combinaisons de granivores (porcins, volailles);
64229;Gamarthe;6184;polyculture et/ou polyélevage;
64231;Garindein;4813;ovins ou caprins;
64235;Garris;4600;bovins viande;
64247;Gotein-Libarrenx;4813;ovins ou caprins;
64249;Guéthary;2800;légumes ou champignons;
64250;Guiche;6184;polyculture et/ou polyélevage;
64255;Halsou;6184;polyculture et/ou polyélevage;
64256;Hasparren;4840;équidés et/ou autres herbivores;
64258;Haux;4840;équidés et/ou autres herbivores;
64259;Hélette;4840;équidés et/ou autres herbivores;
64260;Hendaye;6184;polyculture et/ou polyélevage;
64264;L'Hôpital-Saint-Blaise;4813;ovins ou caprins;
64265;Hosta;4813;ovins ou caprins;
64267;Ibarrolle;4813;ovins ou caprins;
64268;Idaux-Mendy;6184;polyculture et/ou polyélevage;
64271;Iholdy;4840;équidés et/ou autres herbivores;
64272;Ilharre;5374;combinaisons de granivores (porcins, volailles);
64273;Irissarry;4813;ovins ou caprins;
64274;Irouléguy;6184;polyculture et/ou polyélevage;
64275;Ispoure;6184;polyculture et/ou polyélevage;
64277;Isturits;4813;ovins ou caprins;
64279;Itxassou;4840;équidés et/ou autres herbivores;
