lib;2010_n;2010_surf;2010_irri;2020_n;2020_surf;2020_irri;2020_nbio;2020_surfbio;part
total SAU  dont;4375;124397,91;2490,67;3727;119551,98;2773,04;304;6753,49;0,0564899887061678
céréales;1335;10932,37;2161,61;1178;11451,1;2105,03;74;430,26;0,0375736828776275
oléagineux;29;117,76;0;179;1213,51;154,33;15;87,05;0,071734060699953
protéagineux et légumes secs pour leur graine;13;20,33;0;16;54,29;0;6;26,45;0,487198379075336
plantes à fibres et plantes industrielles diverses;13;47,92;19,95;6;11,53;11,04;-999;-999;-999
plantes à parfum, aromatiques, médicinales;117;110,89;1,93;140;203,02;5,23;38;55,15;0,271648113486356
pommes de terre;38;13,01;2,03;69;9,78;1,68;5;0,53;0,0541922290388548
légumes frais, plants de légumes, melons ou fraises;107;126,38;62,37;216;295,25;148,78;74;154,61;0,523657917019475
fourrages annuels;1501;8362,88;154,29;684;4109,91;74,09;20;91,8;0,0223362555384424
prairies;4156;103523,91;9,5;3581;100931,86;146,74;241;5686,39;0,0563389003234459
fleurs et plantes ornementales;-999;-999;8,77;14;6,8;6,46;4;2,76;0,405882352941177
vignes;214;275,81;0;129;286,3;0;25;111,64;0,389940621725463
cultures fruitières;86;170,91;68,75;139;244,07;109,75;61;84,17;0,344860081124268
jachères;86;479,72;;219;521,05;2,97;10;13,31;0,0255445734574417
