annee;otefdd_coef17;lib_oteft;n_exploit;sau_ha;ugb;etp;pbs
2010;1500;céréales et/ou oléoprotéagineux;9;81,53;1,102;4,025546;92,25845
2010;1600;autres grandes cultures;3;-999;-999;3,75;-999
2010;2800;légumes ou champignons;8;12,18;1,276;18,6290029;500,34144
2010;2900;fleurs et/ou horticulture diverse;7;30,63;-999;34,6995997;1193,29225
2010;3900;fruits ou autres cultures permanentes;3;31,14;0;2,7620087;156,3382
2010;4500;bovins lait;-999;-999;-999;-999;-999
2010;4600;bovins viande;-999;-999;-999;-999;-999
2010;4700;bovins mixtes;-999;-999;-999;-999;-999
2010;4813;ovins ou caprins;-999;-999;-999;-999;-999
2010;4840;équidés et/ou autres herbivores;4;119,24;164,088;21,4602002;187,82051
2010;5200;volailles;-999;-999;-999;-999;-999
2010;5374;combinaisons de granivores (porcins, volailles);-999;-999;-999;-999;-999
2010;6184;polyculture et/ou polyélevage;7;51,32;34,295;11,6280932;247,89094
2020;1500;céréales et/ou oléoprotéagineux;7;52,04;-999;3,0088889;36,555
2020;1600;autres grandes cultures;-999;-999;0;-999;-999
2020;2800;légumes ou champignons;4;-999;-999;7,34;333,79278
2020;2900;fleurs et/ou horticulture diverse;5;46,14;-999;34,305;1004,83937
2020;3900;fruits ou autres cultures permanentes;-999;-999;0;-999;-999
2020;4600;bovins viande;-999;-999;-999;-999;-999
2020;4700;bovins mixtes;-999;-999;-999;-999;-999
2020;4813;ovins ou caprins;-999;-999;-999;-999;-999
2020;4840;équidés et/ou autres herbivores;-999;-999;-999;-999;-999
2020;6184;polyculture et/ou polyélevage;4;-999;-999;2;64,25761
2020;9000;non classées;-999;-999;0;-999;-999
