lib;2010_n;2010_surf;2010_irri;2020_n;2020_surf;2020_irri;2020_nbio;2020_surfbio;part
total SAU  dont;44;419,79;15,08;27;267,54;23,25;5;19,66;0,0734843387904612
céréales;17;94,95;0;10;55,09;0;0;0;0
oléagineux;-999;-999;0;-999;-999;0;0;0;0
protéagineux et légumes secs pour leur graine;0;0;0;0;0;0;0;0;
plantes à fibres et plantes industrielles diverses;0;0;0;0;0;0;0;0;
plantes à parfum, aromatiques, médicinales;10;3,24;1;-999;-999;-999;0;0;0
pommes de terre;-999;-999;-999;4;0,65;-999;0;0;0
légumes frais, plants de légumes, melons ou fraises;14;13,66;10,24;9;25,2;18,16;-999;-999;-999
fourrages annuels;-999;-999;0;0;0;0;0;0;
prairies;19;230,9;0;15;139,42;-999;-999;-999;-999
fleurs et plantes ornementales;8;3,54;2,29;3;1,74;1,74;-999;-999;-999
vignes;0;0;0;0;0;0;0;0;
cultures fruitières;3;3,04;-999;-999;-999;-999;-999;-999;-999
jachères;3;20,93;;5;19,95;-999;0;0;0
