lib;2010_ugb;2010_n;2010_tetes;2010_bio;2020_ugb;2020_n;2020_tetes;2020_bio
total ensemble du cheptel;11318,372;305;;;10949,196;219;;13
total bovins;4212,13;170;4826;;3304,68;115;3894;-999
    vaches laitières;967,15;30;667;;414,7;12;286;0
    vaches allaitantes;1449;146;1610;;1401,3;104;1557;
total ovins;5356,33;158;29656;;5866,52;120;34100;6
    brebis mères laitières;4022,8;74;20114;;4018,8;60;20094;-999
    brebis mères allaitantes;682,55;80;4015;;770,44;61;4532;4
total caprins;125,76;14;620;;304,68;10;1386;-999
    chèvres;77,7;12;259;;249;10;830;
total équins;1034,8;101;1153;;908,3;54;939;5
    juments selle;414;41;460;;370,8;27;412;
    juments lourdes;262;36;262;;230;24;230;
total porcins;274,61;83;753;;246,05;21;670;-999
    truies;6,09;6;29;;-999;-999;-999;
total volailles;159,599;149;10656;;314,624;28;25684;0
    poules pondeuses d'œufs<br />    de consommation;53,942;143;3853;;62,188;24;4442;0
    poulets de chair et coqs;43,142;23;3922;;214,621;6;19511;0
lapines mères;155,143;70;929;;4,342;6;26;0
apiculture (nombre de ruches);;5;650;;;7;1196;-999
