codgeo;libgeo;otefdd_coef17;otex_fts;
64038;Arcangues;6184;polyculture et/ou polyélevage;
64100;Bassussarry;6184;polyculture et/ou polyélevage;
64160;Cambo-les-Bains;6184;polyculture et/ou polyélevage;
64213;Espelette;4813;ovins ou caprins;
64255;Halsou;6184;polyculture et/ou polyélevage;
64279;Itxassou;4840;équidés et/ou autres herbivores;
64282;Jatxou;6184;polyculture et/ou polyélevage;
64317;Larressore;4840;équidés et/ou autres herbivores;
64350;Louhossoa;4840;équidés et/ou autres herbivores;
64527;Souraïde;4840;équidés et/ou autres herbivores;
64547;Ustaritz;6184;polyculture et/ou polyélevage;
