lib;2010_ugb;2010_n;2010_tetes;2010_bio;2020_ugb;2020_n;2020_tetes;2020_bio
total ensemble du cheptel;27650,211;377;;;27392,763;336;;16
total bovins;10170,2;322;12414;;9279,08;259;11389;7
    vaches laitières;968,6;25;668;;725;22;500;-999
    vaches allaitantes;4795,2;299;5328;;4311,9;241;4791;
total ovins;14857,17;282;81702;;16050,7;249;91684;9
    brebis mères laitières;12519,8;257;62599;;12594,8;216;62974;9
    brebis mères allaitantes;300,73;21;1769;;682,72;46;4016;0
total caprins;9,2;7;36;;298,7;9;1141;-999
    chèvres;8,7;7;29;;269,1;9;897;
total équins;280;49;300;;478;52;488;4
    juments selle;71,1;11;79;;130,5;14;145;
    juments lourdes;113;26;113;;220;33;220;
total porcins;1345,81;84;3687;;714,77;27;2067;-999
    truies;11,55;6;55;;16,17;4;77;
total volailles;908,005;261;43394;;569,509;39;29047;6
    poules pondeuses d'œufs<br />    de consommation;54,138;252;3867;;8,148;28;582;-999
    poulets de chair et coqs;10,648;69;968;;58,113;8;5283;-999
lapines mères;79,826;102;478;;2,004;4;12;-999
apiculture (nombre de ruches);;-999;-999;;;3;49;3
