codgeo;libgeo;otefdd_coef17;otex_fts;
64045;Arhansus;6184;polyculture et/ou polyélevage;
64046;Armendarits;4813;ovins ou caprins;
64150;Bunus;4813;ovins ou caprins;
64265;Hosta;4813;ovins ou caprins;
64267;Ibarrolle;4813;ovins ou caprins;
64271;Iholdy;4840;équidés et/ou autres herbivores;
64273;Irissarry;4813;ovins ou caprins;
64285;Juxue;4813;ovins ou caprins;
64313;Lantabat;4813;ovins ou caprins;
64314;Larceveau-Arros-Cibits;4813;ovins ou caprins;
64437;Ostabat-Asme;4813;ovins ou caprins;
64487;Saint-Just-Ibarre;4813;ovins ou caprins;
64528;Suhescun;4813;ovins ou caprins;
