lib;2010_n;2020_n;evol;part
nombre total d'exploitations;113;93;-0,176991150442478;1
agriculture biologique;-999;8;-999;0,0860215053763441
autres signes officiels de qualité (yc vin et hors bio)  dont;9;12;0,333333333333333;0,129032258064516
  AOP;-999;5;-999;0,053763440860215
  IGP;6;5;-0,166666666666667;0,053763440860215
  Label rouge;3;4;0,333333333333333;0,0430107526881721
activités de transformation (hors vinification à la ferme)  dont;-999;13;-999;0,139784946236559
  transformation de lait;0;-999;-999;-999
  transformation ou découpe de viande;;6;;0,0645161290322581
  transformation de fruits et/ou légumes;;3;;0,032258064516129
activités de diversification  dont;0;11;Inf;0,118279569892473
  travail à façon;0;7;Inf;0,0752688172043011
  tourisme - hébergement - loisirs;0;-999;-999;-999
  énergie renouvelable (pour la vente);0;-999;-999;-999
circuits courts (hors vin)  dont;9;35;2,88888888888889;0,376344086021505
  vente directe (hors vin);9;25;1,77777777777778;0,268817204301075
