annee;otefdd_coef17;lib_oteft;n_exploit;sau_ha;ugb;etp;pbs
2010;1500;céréales et/ou oléoprotéagineux;8;153,61;-999;4,5;108,50412
2010;1600;autres grandes cultures;29;380,26;-999;19,9292166;48,2787
2010;2800;légumes ou champignons;4;49,65;-999;10,0070266;316,10363
2010;2900;fleurs et/ou horticulture diverse;-999;-999;0;-999;-999
2010;3500;viticulture;-999;-999;0;-999;-999
2010;3900;fruits ou autres cultures permanentes;4;38,69;-999;1,9390946;275,61415
2010;4500;bovins lait;67;2596,48;4815,916;123,3270569;6496,14121
2010;4600;bovins viande;99;2582,25;3716,1;112,6732978;2958,60824
2010;4700;bovins mixtes;16;654,47;1150,98;25,3392031;1281,50974
2010;4813;ovins ou caprins;249;8003,18;16034,708;377,559359;17945,138112
2010;4840;équidés et/ou autres herbivores;42;838,43;1127,177;40,9628239;1254,63806
2010;5100;porcins;3;-999;828,987;6,1666667;684,57602
2010;5200;volailles;14;222,38;853,267;16,5653676;1929,878146
2010;5374;combinaisons de granivores (porcins, volailles);12;164,32;808,308;14,3781114;827,27112
2010;6184;polyculture et/ou polyélevage;27;429,09;771,285;29,419214;1216,47295
2020;1500;céréales et/ou oléoprotéagineux;15;255,97;-999;6,4638889;172,14795
2020;1600;autres grandes cultures;35;400,39;-999;13,0031746;17,79315
2020;2800;légumes ou champignons;8;100,7;55,65;19,8662698;1314,11407
2020;2900;fleurs et/ou horticulture diverse;4;-999;-999;8,765;-999
2020;3900;fruits ou autres cultures permanentes;4;46,76;0;2,75;95,78465
2020;4500;bovins lait;35;1387,89;2863,414;59,0554762;3732,96962
2020;4600;bovins viande;90;2399,61;3171,107;75,6538889;2534,22944
2020;4700;bovins mixtes;14;554,74;965,34;17,1281746;1012,13232
2020;4813;ovins ou caprins;232;8455,28;16568,311;302,1111905;18432,28577
2020;4840;équidés et/ou autres herbivores;32;660,37;1320,458;29,375;1459,7812
2020;5100;porcins;-999;-999;-999;-999;-999
2020;5200;volailles;9;273,06;797,642;13,0527778;1453,18316
2020;5374;combinaisons de granivores (porcins, volailles);7;221,41;452,813;9,75;806,51366
2020;6184;polyculture et/ou polyélevage;21;730,27;1122,059;33,6188889;1533,04567
