annee;otefdd_coef17;lib_oteft;n_exploit;sau_ha;ugb;etp;pbs
2010;1500;céréales et/ou oléoprotéagineux;42;1308,87;125,407;37,7718996;1376,73778
2010;1600;autres grandes cultures;7;169,97;-999;2,875;8,23519
2010;2900;fleurs et/ou horticulture diverse;-999;-999;-999;-999;-999
2010;3900;fruits ou autres cultures permanentes;13;227,55;1,092;24,653388;1768,52471
2010;4500;bovins lait;26;1303,88;2736,066;45,229259;3639,86912
2010;4600;bovins viande;43;1614,73;2174,933;45,5009854;2024,58302
2010;4700;bovins mixtes;3;178,58;318,261;6,25;436,11426
2010;4813;ovins ou caprins;11;523,85;967,023;15,4846078;1128,84333
2010;4840;équidés et/ou autres herbivores;11;128,41;124,204;10,4845342;143,603
2010;5100;porcins;-999;-999;-999;-999;-999
2010;5200;volailles;26;671,17;2174,758;39,3316851;7557,025888
2010;5374;combinaisons de granivores (porcins, volailles);14;921,45;1876,869;25,849345;2489,478774
2010;6184;polyculture et/ou polyélevage;57;2458,71;2540,445;74,1775929;5339,20505
2020;1500;céréales et/ou oléoprotéagineux;45;1597,37;132,701;30,9274603;1509,01072
2020;1600;autres grandes cultures;20;286,6;0;8,625;13,39173
2020;2800;légumes ou champignons;-999;-999;0;-999;-999
2020;2900;fleurs et/ou horticulture diverse;4;-999;-999;7,5793651;391,80623
2020;3900;fruits ou autres cultures permanentes;14;71,08;0;31,5410317;832,04411
2020;4500;bovins lait;12;801,32;1417,581;31,1039683;1994,38598
2020;4600;bovins viande;40;1762,82;2145,65;42,0390476;1882,75671
2020;4700;bovins mixtes;-999;-999;-999;-999;-999
2020;4813;ovins ou caprins;11;590,72;992,124;13,4671429;1083,61177
2020;4840;équidés et/ou autres herbivores;15;358,19;322,638;20,935;331,34233
2020;5200;volailles;24;843,24;3547,752;37,025;7941,06265
2020;5374;combinaisons de granivores (porcins, volailles);-999;-999;-999;-999;-999
2020;6184;polyculture et/ou polyélevage;41;2639;2289,384;55,3066667;4772,53871
2020;9000;non classées;-999;-999;0;-999;-999
