codgeo;libgeo;otefdd_coef17;otex_fts;
64012;Ainharp;4813;ovins ou caprins;
64015;Alçay-Alçabéhéty-Sunharette;4813;ovins ou caprins;
64017;Alos-Sibas-Abense;4813;ovins ou caprins;
64050;Arrast-Larrebieu;4813;ovins ou caprins;
64081;Aussurucq;4813;ovins ou caprins;
64093;Barcus;4813;ovins ou caprins;
64115;Berrogain-Laruns;4813;ovins ou caprins;
64162;Camou-Cihigue;4813;ovins ou caprins;
64187;Charritte-de-Bas;6184;polyculture et/ou polyélevage;
64188;Chéraute;4813;ovins ou caprins;
64214;Espès-Undurein;4700;bovins mixtes;
64222;Etchebar;4813;ovins ou caprins;
64231;Garindein;4813;ovins ou caprins;
64247;Gotein-Libarrenx;4813;ovins ou caprins;
64258;Haux;4840;équidés et/ou autres herbivores;
64264;L'Hôpital-Saint-Blaise;4813;ovins ou caprins;
64268;Idaux-Mendy;6184;polyculture et/ou polyélevage;
64298;Lacarry-Arhan-Charritte-de-Haut;4813;ovins ou caprins;
64303;Laguinge-Restoue;4813;ovins ou caprins;
64316;Larrau;4813;ovins ou caprins;
64340;Lichans-Sunhar;4813;ovins ou caprins;
64341;Lichos;6184;polyculture et/ou polyélevage;
64342;Licq-Athérey;4813;ovins ou caprins;
64371;Mauléon-Licharre;6184;polyculture et/ou polyélevage;
64378;Menditte;4813;ovins ou caprins;
64391;Moncayolle-Larrory-Mendibieu;4813;ovins ou caprins;
64404;Montory;4813;ovins ou caprins;
64411;Musculdy;4813;ovins ou caprins;
64424;Ordiarp;4813;ovins ou caprins;
64432;Ossas-Suhare;4813;ovins ou caprins;
64468;Roquiague;4813;ovins ou caprins;
64475;Sainte-Engrâce;4840;équidés et/ou autres herbivores;
64509;Sauguis-Saint-Étienne;4813;ovins ou caprins;
64533;Tardets-Sorholus;4813;ovins ou caprins;
64537;Trois-Villes;4700;bovins mixtes;
64559;Viodos-Abense-de-Bas;6184;polyculture et/ou polyélevage;
