lib;2010_n;2020_n;evol;part
nombre total d'exploitations;746;601;-0,194369973190348;1
agriculture biologique;14;35;1,5;0,0582362728785358
autres signes officiels de qualité (yc vin et hors bio)  dont;343;316;-0,0787172011661808;0,525790349417637
  AOP;285;232;-0,185964912280702;0,386023294509151
  IGP;7;160;21,8571428571429;0,266222961730449
  Label rouge;309;234;-0,242718446601942;0,389351081530782
activités de transformation (hors vinification à la ferme)  dont;65;119;0,830769230769231;0,198003327787022
  transformation de lait;46;63;0,369565217391304;0,104825291181364
  transformation ou découpe de viande;;63;;0,104825291181364
  transformation de fruits et/ou légumes;;4;;0,00665557404326123
activités de diversification  dont;33;62;0,878787878787879;0,103161397670549
  travail à façon;10;35;2,5;0,0582362728785358
  tourisme - hébergement - loisirs;17;11;-0,352941176470588;0,0183028286189684
  énergie renouvelable (pour la vente);-999;12;-999;0,0199667221297837
circuits courts (hors vin)  dont;151;150;-0,00662251655629143;0,249584026622296
  vente directe (hors vin);141;143;0,0141843971631206;0,237936772046589
