lib;2010_ugb;2010_n;2010_tetes;2010_bio;2020_ugb;2020_n;2020_tetes;2020_bio
total ensemble du cheptel;11699,926;337;;;10273,297;234;;16
total bovins;4882,97;196;5344;;4205,83;130;4904;8
    vaches laitières;1825,55;56;1259;;1048,35;29;723;-999
    vaches allaitantes;1036,8;141;1152;;1141,2;108;1268;
total ovins;5218,67;181;28932;;4703,42;138;27416;7
    brebis mères laitières;3741,4;93;18707;;3173,4;68;15867;5
    brebis mères allaitantes;890,63;90;5239;;715,36;68;4208;-999
total caprins;49,98;14;177;;174,82;10;655;-999
    chèvres;48,3;13;161;;158,4;10;528;
total équins;942;81;1018;;838,3;40;879;-999
    juments selle;156,6;24;174;;432;20;480;
    juments lourdes;163;17;163;;122;12;122;
total porcins;466,29;-999;-999;;291,28;21;840;3
    truies;-999;-999;-999;;3,36;3;16;
total volailles;97,598;128;6311;;58,144;21;4641;3
    poules pondeuses d'œufs<br />    de consommation;41,342;118;2953;;34,104;18;2436;3
    poulets de chair et coqs;17,974;26;1634;;18,92;3;1720;0
lapines mères;42,418;36;254;;1,503;3;9;-999
apiculture (nombre de ruches);;4;264;;;4;644;-999
