lib;2010_n;2020_n;evol;part
nombre total d'exploitations;394;313;-0,205583756345178;1
agriculture biologique;-999;38;-999;0,121405750798722
autres signes officiels de qualité (yc vin et hors bio)  dont;48;89;0,854166666666667;0,284345047923323
  AOP;43;79;0,837209302325581;0,252396166134185
  IGP;-999;6;-999;0,0191693290734824
  Label rouge;9;20;1,22222222222222;0,0638977635782748
activités de transformation (hors vinification à la ferme)  dont;22;59;1,68181818181818;0,18849840255591
  transformation de lait;10;18;0,8;0,0575079872204473
  transformation ou découpe de viande;;28;;0,0894568690095847
  transformation de fruits et/ou légumes;;8;;0,0255591054313099
activités de diversification  dont;32;53;0,65625;0,169329073482428
  travail à façon;4;20;4;0,0638977635782748
  tourisme - hébergement - loisirs;24;25;0,0416666666666667;0,0798722044728434
  énergie renouvelable (pour la vente);0;-999;-999;-999
circuits courts (hors vin)  dont;74;112;0,513513513513514;0,357827476038339
  vente directe (hors vin);56;103;0,839285714285714;0,329073482428115
