echelle;categorie;type;annee;valeur;age_5;age_moy;;;;echelle;annee;Moyenne_age;;;;
Amikuze;Age;0;2010;126;(50,55];53;;6615;;Amikuze;2010;48;;;(0,25];20
Amikuze;Age;0;2010;23;(65,70];68;;1553;;Amikuze;2020;49;;;(25,30];28
Amikuze;Age;0;2010;66;(30,35];33;;2145;;ca_du_pays_basque;2010;47;;;(30,35];33
Amikuze;Age;0;2010;98;(35,40];38;;3675;;ca_du_pays_basque;2020;49;;;(35,40];38
Amikuze;Age;0;2010;36;(70,Inf];75;;2700;;Cote Basque Adour;2010;;;;(40,45];43
Amikuze;Age;0;2010;9;(0,25];20;;180;;Cote Basque Adour;2020;;;;(45,50];48
Amikuze;Age;0;2010;37;(25,30];28;;1018;;Erobi;2010;49;;;(50,55];53
Amikuze;Age;0;2010;122;(40,45];43;;5185;;Erobi;2020;49;;;(55,60];58
Amikuze;Age;0;2010;133;(45,50];48;;6318;;Garazi Baigori;2010;45;;;(60,65];63
Amikuze;Age;0;2010;122;(55,60];58;;7015;;Garazi Baigori;2020;47;;;(65,70];68
Amikuze;Age;0;2010;42;(60,65];63;;2625;;Iholdi Oztibarre;2010;45;;;(70,inf];75
Amikuze;Age;0;2020;28;(65,70];68;;1890;;Iholdi Oztibarre;2020;48;;;;
Amikuze;Age;0;2020;39;(30,35];33;;1268;;Nive Adour;2010;;;;;
Amikuze;Age;0;2020;109;(50,55];53;;5723;;Nive Adour;2020;;;;;
Amikuze;Age;0;2020;77;(40,45];43;;3273;;Pays de Bidache;2010;49;;;;
Amikuze;Age;0;2020;8;(0,25];20;;160;;Pays de Bidache;2020;50;;;;
Amikuze;Age;0;2020;36;(25,30];28;;990;;Pays d'Hasparren;2010;46;;;;
Amikuze;Age;0;2020;81;(35,40];38;;3038;;Pays d'Hasparren;2020;49;;;;
Amikuze;Age;0;2020;28;(70,Inf];75;;2100;;Soule Xiberoa;2010;47;;;;
Amikuze;Age;0;2020;98;(45,50];48;;4655;;Soule Xiberoa;2020;49;;;;
Amikuze;Age;0;2020;51;(60,65];63;;3188;;Sud Pays Basque;2010;50;;;;
Amikuze;Age;0;2020;120;(55,60];58;;6900;;Sud Pays Basque;2020;50;;;;
ca_du_pays_basque;Age;M;2010;100;(0,25];20;;2000;;;;;;;;
ca_du_pays_basque;Age;F;2010;47;(25,30];28;;1293;;;;;;;;
ca_du_pays_basque;Age;F;2010;222;(40,45];43;;9435;;;;;;;;
ca_du_pays_basque;Age;F;2010;115;(60,65];63;;7188;;;;;;;;
ca_du_pays_basque;Age;F;2010;81;(70,Inf];75;;6075;;;;;;;;
ca_du_pays_basque;Age;M;2010;547;(50,55];53;;28718;;;;;;;;
ca_du_pays_basque;Age;M;2010;80;(65,70];68;;5400;;;;;;;;
ca_du_pays_basque;Age;F;2010;269;(50,55];53;;14123;;;;;;;;
ca_du_pays_basque;Age;F;2010;263;(55,60];58;;15123;;;;;;;;
ca_du_pays_basque;Age;M;2010;312;(30,35];33;;10140;;;;;;;;
ca_du_pays_basque;Age;M;2010;461;(55,60];58;;26508;;;;;;;;
ca_du_pays_basque;Age;M;2010;239;(25,30];28;;6573;;;;;;;;
ca_du_pays_basque;Age;M;2010;165;(70,Inf];75;;12375;;;;;;;;
ca_du_pays_basque;Age;F;2010;178;(35,40];38;;6675;;;;;;;;
ca_du_pays_basque;Age;M;2010;554;(40,45];43;;23545;;;;;;;;
ca_du_pays_basque;Age;M;2010;586;(45,50];48;;27835;;;;;;;;
ca_du_pays_basque;Age;F;2010;264;(45,50];48;;12540;;;;;;;;
ca_du_pays_basque;Age;M;2010;442;(35,40];38;;16575;;;;;;;;
ca_du_pays_basque;Age;M;2010;196;(60,65];63;;12250;;;;;;;;
ca_du_pays_basque;Age;F;2010;19;(0,25];20;;380;;;;;;;;
ca_du_pays_basque;Age;F;2010;94;(30,35];33;;3055;;;;;;;;
ca_du_pays_basque;Age;F;2010;38;(65,70];68;;2565;;;;;;;;
ca_du_pays_basque;Age;F;2020;44;(25,30];28;;1210;;;;;;;;
ca_du_pays_basque;Age;M;2020;514;(55,60];58;;29555;;;;;;;;
ca_du_pays_basque;Age;M;2020;128;(70,Inf];75;;9600;;;;;;;;
ca_du_pays_basque;Age;F;2020;19;(0,25];20;;380;;;;;;;;
ca_du_pays_basque;Age;F;2020;147;(35,40];38;;5513;;;;;;;;
ca_du_pays_basque;Age;F;2020;198;(45,50];48;;9405;;;;;;;;
ca_du_pays_basque;Age;F;2020;71;(65,70];68;;4793;;;;;;;;
ca_du_pays_basque;Age;M;2020;246;(30,35];33;;7995;;;;;;;;
ca_du_pays_basque;Age;F;2020;133;(60,65];63;;8313;;;;;;;;
ca_du_pays_basque;Age;M;2020;168;(25,30];28;;4620;;;;;;;;
ca_du_pays_basque;Age;F;2020;213;(50,55];53;;11183;;;;;;;;
ca_du_pays_basque;Age;M;2020;215;(60,65];63;;13438;;;;;;;;
ca_du_pays_basque;Age;M;2020;135;(65,70];68;;9113;;;;;;;;
ca_du_pays_basque;Age;F;2020;175;(40,45];43;;7438;;;;;;;;
ca_du_pays_basque;Age;M;2020;121;(0,25];20;;2420;;;;;;;;
ca_du_pays_basque;Age;M;2020;385;(40,45];43;;16363;;;;;;;;
ca_du_pays_basque;Age;M;2020;514;(50,55];53;;26985;;;;;;;;
ca_du_pays_basque;Age;F;2020;82;(30,35];33;;2665;;;;;;;;
ca_du_pays_basque;Age;F;2020;289;(55,60];58;;16618;;;;;;;;
ca_du_pays_basque;Age;M;2020;377;(35,40];38;;14138;;;;;;;;
ca_du_pays_basque;Age;F;2020;75;(70,Inf];75;;5625;;;;;;;;
ca_du_pays_basque;Age;M;2020;458;(45,50];48;;21755;;;;;;;;
Cote Basque Adour;Age;0;2010;13;0;;;;;;;;;;;
Cote Basque Adour;Age;0;2010;20;0;;;;;;;;;;;
Cote Basque Adour;Age;0;2010;7;0;;;;;;;;;;;
Cote Basque Adour;Age;0;2010;21;0;;;;;;;;;;;
Cote Basque Adour;Age;0;2020;3;0;;;;;;;;;;;
Cote Basque Adour;Age;0;2020;6;0;;;;;;;;;;;
Cote Basque Adour;Age;0;2020;13;0;;;;;;;;;;;
Cote Basque Adour;Age;0;2020;16;0;;;;;;;;;;;
Errobi;Age;M;2010;40;(35,40];38;;1500;;;;;;;;
Errobi;Age;F;2010;6;(25,30];28;;165;;;;;;;;
Errobi;Age;M;2010;9;(65,70];68;;608;;;;;;;;
Errobi;Age;F;2010;12;(70,Inf];75;;900;;;;;;;;
Errobi;Age;F;2010;8;(30,35];33;;260;;;;;;;;
Errobi;Age;F;2010;7;(65,70];68;;473;;;;;;;;
Errobi;Age;M;2010;4;(0,25];20;;80;;;;;;;;
Errobi;Age;M;2010;36;(55,60];58;;2070;;;;;;;;
