echelle;categorie;type;annee;valeur;ugb;tetes;bio
Amikuze;Cheptel;apiculture (nombre de ruches);2010;10;0;303;0
Amikuze;Cheptel;vaches laitières;2010;47;2028,55;1399;0
Amikuze;Cheptel;truies;2010;21;293,58;1398;0
Amikuze;Cheptel;lapines mères;2010;97;53,774;322;0
Amikuze;Cheptel;brebis mères laitières;2010;165;8145,6;40728;0
Amikuze;Cheptel;total équins;2010;48;225;242;0
Amikuze;Cheptel;juments selle;2010;11;50,4;56;0
Amikuze;Cheptel;total volailles;2010;369;1570,361;97825;0
Amikuze;Cheptel;poules pondeuses d'œufs<br />    de consommation;2010;331;78,358;5597;0
Amikuze;Cheptel;poulets de chair et coqs;2010;80;334,829;30439;0
Amikuze;Cheptel;total ovins;2010;247;10144,33;55975;0
Amikuze;Cheptel;chèvres;2010;5;24;80;0
Amikuze;Cheptel;total porcins;2010;144;4597,46;17479;0
Amikuze;Cheptel;total ensemble du cheptel;2010;568;38889,215;0;0
Amikuze;Cheptel;total bovins;2010;427;22263,73;27669;0
Amikuze;Cheptel;vaches allaitantes;2010;386;10566;11740;0
Amikuze;Cheptel;brebis mères allaitantes;2010;74;676,09;3977;0
Amikuze;Cheptel;juments lourdes;2010;15;82;82;0
Amikuze;Cheptel;total caprins;2010;9;34,56;164;0
Amikuze;Cheptel;truies;2020;12;189;900;0
Amikuze;Cheptel;lapines mères;2020;4;1,503;9;0
Amikuze;Cheptel;total volailles;2020;97;2794,493;185996;13
Amikuze;Cheptel;total ovins;2020;200;9676,25;56437;9
Amikuze;Cheptel;total caprins;2020;5;143,56;566;-999
Amikuze;Cheptel;juments selle;2020;8;39,6;44;0
Amikuze;Cheptel;total porcins;2020;45;3626,24;14188;-999
Amikuze;Cheptel;vaches laitières;2020;25;1167,25;805;-999
Amikuze;Cheptel;total équins;2020;25;160,9;160;3
Amikuze;Cheptel;poules pondeuses d'œufs<br />    de consommation;2020;48;401,548;28682;11
Amikuze;Cheptel;total ensemble du cheptel;2020;454;34461,036;0;32
Amikuze;Cheptel;brebis mères allaitantes;2020;71;1019,49;5997;5
Amikuze;Cheptel;chèvres;2020;5;123,6;412;0
Amikuze;Cheptel;poulets de chair et coqs;2020;19;1062,6;96600;-999
Amikuze;Cheptel;juments lourdes;2020;13;85;85;0
