echelle;categorie;type;annee;valeur;sau_ha;ugb;etp;pbs;otefdd_coef17
Amikuze;Otex;bovins lait;2010;27;1035,07;2228,684;47,7780704;2897,02587;4500
Amikuze;Otex;combinaisons de granivores (porcins, volailles);2010;27;938,21;2117,184;41,2567369;3321,67074;5374
Amikuze;Otex;fruits ou autres cultures permanentes;2010;-999;-999;-999;-999;-999;3900
Amikuze;Otex;autres grandes cultures;2010;33;449,87;-999;16,9612445;542,11144;1600
Amikuze;Otex;légumes ou champignons;2010;-999;-999;0;-999;-999;2800
Amikuze;Otex;équidés et/ou autres herbivores;2010;11;208,53;478,386;11,2980349;479,3515;4840
Amikuze;Otex;céréales et/ou oléoprotéagineux;2010;57;1639,9;25,252;38,7130146;1545,80817;1500
Amikuze;Otex;volailles;2010;25;246,96;1007,182;24,978181;2504,05181;5200
Amikuze;Otex;fleurs et/ou horticulture diverse;2010;-999;-999;0;-999;-999;2900
Amikuze;Otex;porcins;2010;17;276,93;3608,825;29,8593969;4034,88334;5100
Amikuze;Otex;polyculture et/ou polyélevage;2010;91;3412,12;3927,598;112,885915;6420,76488;6184
Amikuze;Otex;bovins viande;2010;157;6059,73;10541,939;200,9886516;9453,22732;4600
Amikuze;Otex;bovins mixtes;2010;9;350,6;706,5;13,3992383;853,33355;4700
Amikuze;Otex;ovins ou caprins;2010;183;7430,03;14172,275;291,0895318;15392,78682;4813
Amikuze;Otex;fleurs et/ou horticulture diverse;2020;4;9,66;-999;7,77;365,55976;2900
Amikuze;Otex;bovins lait;2020;14;720,86;1490,238;20,5088889;1814,62047;4500
Amikuze;Otex;bovins viande;2020;120;5493,6;8951,947;150,0163492;8012,01827;4600
Amikuze;Otex;céréales et/ou oléoprotéagineux;2020;72;2156,95;68,596;43,208254;1851,61484;1500
Amikuze;Otex;ovins ou caprins;2020;163;6924,25;12609,641;235,5280159;13869,5154;4813
Amikuze;Otex;polyculture et/ou polyélevage;2020;73;3651,85;3765,148;97,0329365;6379,17414;6184
Amikuze;Otex;bovins mixtes;2020;5;169,46;365,934;5,75;433,04067;4700
Amikuze;Otex;volailles;2020;30;708,44;2574,732;42,9116667;5125,80318;5200
Amikuze;Otex;équidés et/ou autres herbivores;2020;8;140,51;176,22;4,25;219,65411;4840
Amikuze;Otex;porcins;2020;11;237,5;2890,37;23,9527778;2933,05543;5100
Amikuze;Otex;autres grandes cultures;2020;31;449,21;6,916;12,25;84,98386;1600
Amikuze;Otex;fruits ou autres cultures permanentes;2020;5;9,78;-999;2;75,06212;3900
Amikuze;Otex;combinaisons de granivores (porcins, volailles);2020;12;643,59;1552,752;19,035;1876,10347;5374
