echelle;categorie;type;annee;valeur
Amikuze;Valorisation;nombre total d'exploitations;2010;642
Amikuze;Valorisation;AOP;2010;116
Amikuze;Valorisation;travail à façon;2010;7
Amikuze;Valorisation;Label rouge;2010;152
Amikuze;Valorisation;activités de transformation (hors vinification à la ferme)  dont;2010;15
Amikuze;Valorisation;circuits courts (hors vin)  dont;2010;64
Amikuze;Valorisation;vente directe (hors vin);2010;62
Amikuze;Valorisation;activités de diversification  dont;2010;26
Amikuze;Valorisation;tourisme - hébergement - loisirs;2010;8
Amikuze;Valorisation;autres signes officiels de qualité (yc vin et hors bio)  dont;2010;224
Amikuze;Valorisation;IGP;2010;43
Amikuze;Valorisation;agriculture biologique;2010;9
Amikuze;Valorisation;transformation de lait;2010;6
Amikuze;Valorisation;énergie renouvelable (pour la vente);2010;3
Amikuze;Valorisation;transformation ou découpe de viande;2010;0
Amikuze;Valorisation;transformation de fruits et/ou légumes;2010;0
Amikuze;Valorisation;énergie renouvelable (pour la vente);2020;22
Amikuze;Valorisation;transformation de lait;2020;17
Amikuze;Valorisation;transformation de fruits et/ou légumes;2020;8
Amikuze;Valorisation;vente directe (hors vin);2020;78
Amikuze;Valorisation;AOP;2020;106
Amikuze;Valorisation;Label rouge;2020;130
Amikuze;Valorisation;activités de transformation (hors vinification à la ferme)  dont;2020;61
Amikuze;Valorisation;nombre total d'exploitations;2020;552
Amikuze;Valorisation;transformation ou découpe de viande;2020;33
Amikuze;Valorisation;tourisme - hébergement - loisirs;2020;4
Amikuze;Valorisation;activités de diversification  dont;2020;58
Amikuze;Valorisation;circuits courts (hors vin)  dont;2020;88
Amikuze;Valorisation;agriculture biologique;2020;43
Amikuze;Valorisation;autres signes officiels de qualité (yc vin et hors bio)  dont;2020;202
Amikuze;Valorisation;IGP;2020;62
Amikuze;Valorisation;travail à façon;2020;29
ca_du_pays_basque;Valorisation;autres signes officiels de qualité (yc vin et hors bio)  dont;2010;1696
ca_du_pays_basque;Valorisation;Label rouge;2010;927
ca_du_pays_basque;Valorisation;énergie renouvelable (pour la vente);2010;9
ca_du_pays_basque;Valorisation;travail à façon;2010;39
ca_du_pays_basque;Valorisation;IGP;2010;118
ca_du_pays_basque;Valorisation;activités de transformation (hors vinification à la ferme)  dont;2010;293
ca_du_pays_basque;Valorisation;nombre total d'exploitations;2010;4455
ca_du_pays_basque;Valorisation;activités de diversification  dont;2010;248
