lib;2010_ugb;2010_n;2010_tetes;2010_bio;2020_ugb;2020_n;2020_tetes;2020_bio
total ensemble du cheptel;38889,215;568;;;34461,036;454;;32
total bovins;22263,73;427;27669;;18058,09;303;22164;12
    vaches laitières;2028,55;47;1399;;1167,25;25;805;-999
    vaches allaitantes;10566;386;11740;;8885,7;284;9873;
total ovins;10144,33;247;55975;;9676,25;200;56437;9
    brebis mères laitières;8145,6;165;40728;;6801;127;34005;6
    brebis mères allaitantes;676,09;74;3977;;1019,49;71;5997;5
total caprins;34,56;9;164;;143,56;5;566;-999
    chèvres;24;5;80;;123,6;5;412;
total équins;225;48;242;;160,9;25;160;3
    juments selle;50,4;11;56;;39,6;8;44;
    juments lourdes;82;15;82;;85;13;85;
total porcins;4597,46;144;17479;;3626,24;45;14188;-999
    truies;293,58;21;1398;;189;12;900;
total volailles;1570,361;369;97825;;2794,493;97;185996;13
    poules pondeuses d'œufs<br />    de consommation;78,358;331;5597;;401,548;48;28682;11
    poulets de chair et coqs;334,829;80;30439;;1062,6;19;96600;-999
lapines mères;53,774;97;322;;1,503;4;9;0
apiculture (nombre de ruches);;10;303;;;5;862;-999
