lib;2010_n;2020_n;evol;part
nombre total d'exploitations;4455;3777;-0,152188552188552;1
agriculture biologique;79;313;2,9620253164557;0,0828700026476039
autres signes officiels de qualité (yc vin et hors bio)  dont;1696;1641;-0,0324292452830188;0,434471803018268
  AOP;1378;1293;-0,0616835994194484;0,342335186656076
  IGP;118;365;2,09322033898305;0,0966375430235637
  Label rouge;927;702;-0,242718446601942;0,185861795075457
activités de transformation (hors vinification à la ferme)  dont;293;634;1,16382252559727;0,167858088429971
  transformation de lait;166;246;0,481927710843373;0,0651310563939635
  transformation ou découpe de viande;;287;;0,075986232459624
  transformation de fruits et/ou légumes;;82;;0,0217103521313212
activités de diversification  dont;248;471;0,899193548387097;0,124702144559174
  travail à façon;39;209;4,35897435897436;0,0553349218956844
  tourisme - hébergement - loisirs;158;140;-0,113924050632911;0,0370664548583532
  énergie renouvelable (pour la vente);9;90;9;0,0238284352660842
circuits courts (hors vin)  dont;691;896;0,296671490593343;0,23722531109346
  vente directe (hors vin);605;788;0,302479338842975;0,208631188774159
