lib;2010_ugb;2010_n;2010_tetes;2010_bio;2020_ugb;2020_n;2020_tetes;2020_bio
total ensemble du cheptel;344,354;30;;;129,629;12;;0
total bovins;67,3;5;77;;39,45;4;45;0
    vaches laitières;23,2;3;16;;-999;-999;-999;0
    vaches allaitantes;-999;-999;-999;;5,4;3;6;
total ovins;83,53;4;471;;35,8;4;224;0
    brebis mères laitières;-999;-999;-999;;0;0;0;0
    brebis mères allaitantes;11,73;3;69;;31,96;4;188;0
total caprins;-999;-999;-999;;0;0;0;0
    chèvres;-999;-999;-999;;0;0;0;
total équins;160,7;4;180;;-999;-999;-999;0
    juments selle;-999;-999;-999;;-999;-999;-999;
    juments lourdes;-999;-999;-999;;0;0;0;
total porcins;-999;-999;-999;;-999;-999;-999;0
    truies;0;0;0;;0;0;0;
total volailles;19,542;18;1509;;18,025;6;1352;0
    poules pondeuses d'œufs<br />    de consommation;13,58;18;970;;14,294;6;1021;0
    poulets de chair et coqs;-999;-999;-999;;-999;-999;-999;0
lapines mères;1,002;3;6;;-999;-999;-999;0
apiculture (nombre de ruches);;4;760;;;3;267;0
