lib;2010_n;2010_surf;2010_irri;2020_n;2020_surf;2020_irri;2020_nbio;2020_surfbio;part
total SAU  dont;384;13377,59;9,49;356;13441,75;17,44;23;739,2;0,0549928394740268
céréales;98;241,71;-999;103;326,78;0;7;26,8;0,0820123630577147
oléagineux;-999;-999;0;5;27,16;0;-999;-999;-999
protéagineux et légumes secs pour leur graine;0;0;0;-999;-999;0;0;0;0
plantes à fibres et plantes industrielles diverses;-999;-999;-999;-999;-999;0;-999;-999;-999
plantes à parfum, aromatiques, médicinales;0;0;0;-999;-999;-999;-999;-999;-999
pommes de terre;5;1,11;-999;14;0,58;0;-999;-999;-999
légumes frais, plants de légumes, melons ou fraises;3;2,72;-999;24;16,69;13,68;6;15,9;0,952666267225884
fourrages annuels;213;864,94;-999;89;372,89;0;-999;-999;-999
prairies;383;12234,55;0;354;12671,24;-999;19;669,69;0,0528511810998766
fleurs et plantes ornementales;0;0;0;0;0;0;0;0;
vignes;33;15,48;0;20;13,5;0;-999;-999;-999
cultures fruitières;4;5,32;0;10;9,69;-999;7;8,95;0,923632610939113
jachères;4;-999;;0;0;0;0;0;
