annee;otefdd_coef17;lib_oteft;n_exploit;sau_ha;ugb;etp;pbs
2010;1500;céréales et/ou oléoprotéagineux;6;136,01;-999;2,7631004;128,34574
2010;1600;autres grandes cultures;13;135,06;0;4;17,76522
2010;2800;légumes ou champignons;5;70,89;-999;8,5060044;526,49618
2010;3900;fruits ou autres cultures permanentes;-999;-999;-999;-999;-999
2010;4500;bovins lait;14;397,54;661,973;15,859099;932,14397
2010;4600;bovins viande;25;465,6;733,605;20,5191048;595,72839
2010;4700;bovins mixtes;3;30,22;75,978;2,875;83,15419
2010;4813;ovins ou caprins;12;144,14;203,109;7,0655022;235,281
2010;4840;équidés et/ou autres herbivores;11;134,03;133,21;6,3640633;146,0352
2010;5100;porcins;-999;-999;-999;-999;-999
2010;5200;volailles;7;91,03;326,95;4,772402;699,10129
2010;5374;combinaisons de granivores (porcins, volailles);3;58,23;-999;4,25;136,02155
2010;6184;polyculture et/ou polyélevage;10;88,03;105,868;6,75;265,88982
2020;1500;céréales et/ou oléoprotéagineux;7;78,33;0;7,625;64,8723
2020;1600;autres grandes cultures;15;169,51;-999;8,2621429;73,52197
2020;2800;légumes ou champignons;5;-999;-999;4,5;186,2255778
2020;2900;fleurs et/ou horticulture diverse;4;33,23;0;45,1933333;1272,10899
2020;3900;fruits ou autres cultures permanentes;-999;-999;0;-999;-999
2020;4500;bovins lait;4;183,65;324;5,7516667;446,67965
2020;4600;bovins viande;18;489,38;539,355;14,5063492;456,0771
2020;4700;bovins mixtes;3;69,51;58,54;3,125;73,9633
2020;4813;ovins ou caprins;16;266,64;287,66;13,0634921;335,16508
2020;4840;équidés et/ou autres herbivores;6;55,15;42,88;4;45,45935
2020;5100;porcins;-999;-999;-999;-999;-999
2020;5200;volailles;5;121,9;395,94;7,0190476;630,54012
2020;5374;combinaisons de granivores (porcins, volailles);-999;-999;-999;-999;-999
2020;6184;polyculture et/ou polyélevage;6;18,89;-999;7,5666667;272,19719
