lib;2010_n;2010_surf;2010_irri;2020_n;2020_surf;2020_irri;2020_nbio;2020_surfbio;part
total SAU  dont;249;9565,1;349,83;226;9181,01;455,57;15;620,43;0,0675775323194289
céréales;172;3032,68;284,94;134;2807,45;322,64;4;51,3;0,0182728098452332
oléagineux;7;45,99;0;52;483,57;28,52;4;18,75;0,0387741175010857
protéagineux et légumes secs pour leur graine;-999;-999;0;-999;-999;0;-999;-999;-999
plantes à fibres et plantes industrielles diverses;-999;-999;-999;-999;-999;-999;0;0;0
plantes à parfum, aromatiques, médicinales;0;0;0;-999;-999;-999;-999;-999;-999
pommes de terre;-999;-999;0;3;0,33;-999;-999;-999;-999
légumes frais, plants de légumes, melons ou fraises;4;4,16;3,96;12;8,22;6,82;5;4,13;0,502433090024331
fourrages annuels;91;934,7;-999;46;486,27;-999;4;32,89;0,0676373208299916
prairies;224;5222,01;0;204;5112,96;0;12;497,03;0,0972098353986732
fleurs et plantes ornementales;0;0;0;-999;-999;-999;0;0;0
vignes;5;1,06;0;3;0,59;0;-999;-999;-999
cultures fruitières;26;67,53;45,88;36;106,24;81,73;5;8,55;0,0804781626506024
jachères;26;226,28;;60;150,23;0;-999;-999;-999
