code insee;surf_ha;Pole_Territoriaux
64140;579;Cote Basque Adour
64304;975;Nive Adour
64371;1272;Soule Xiberoa
64122;1174;Cote Basque Adour
64341;346;Soule Xiberoa
64411;2430;Soule Xiberoa
64345;1751;Amikuze
64221;743;Amikuze
64264;213;Soule Xiberoa
64107;2058;Garazi Baigorri
64031;524;Pays de Bidache
64012;1440;Soule Xiberoa
64036;1456;Amikuze
64015;3457;Soule Xiberoa
64014;1625;Sud Pays Basque
64477;6978;Garazi Baigorri
64124;3896;Garazi Baigorri
64545;5181;Sud Pays Basque
64092;4992;Garazi Baigorri
64475;7320;Soule Xiberoa
64316;12668;Soule Xiberoa
64540;1390;Nive Adour
64364;1977;Pays d'Hasparren
64011;625;Garazi Baigorri
64490;1848;Garazi Baigorri
64259;2364;Pays d'Hasparren
64229;997;Garazi Baigorri
64485;275;Garazi Baigorri
64008;1463;Garazi Baigorri
64283;1065;Garazi Baigorri
64150;665;Iholdi Oztibarre
64313;2908;Iholdi Oztibarre
64437;1533;Iholdi Oztibarre
64271;2201;Iholdi Oztibarre
64425;3647;Amikuze
64255;538;Errobi
64378;662;Soule Xiberoa
64282;1399;Errobi
64539;1176;Amikuze
64342;1801;Soule Xiberoa
64303;603;Soule Xiberoa
64231;698;Soule Xiberoa
64432;721;Soule Xiberoa
64340;346;Soule Xiberoa
64162;1011;Soule Xiberoa
64034;532;Amikuze
64213;2716;Errobi
64013;1025;Garazi Baigorri
64051;2280;Amikuze
64407;2242;Nive Adour
64502;1313;Pays de Bidache
64102;2575;Cote Basque Adour
64188;3666;Soule Xiberoa
64483;1918;Sud Pays Basque
64189;755;Sud Pays Basque
64379;4196;Garazi Baigorri
64272;1054;Amikuze
64113;1134;Pays de Bidache
64441;1604;Amikuze
64093;4735;Soule Xiberoa
64322;1481;Garazi Baigorri
64130;1117;Sud Pays Basque
64504;5153;Sud Pays Basque
64260;1050;Sud Pays Basque
64147;3147;Pays d'Hasparren
64277;1369;Pays d'Hasparren
64547;3273;Errobi
64166;402;Garazi Baigorri
64155;568;Garazi Baigorri
64009;1057;Sud Pays Basque
64377;2155;Pays d'Hasparren
64476;1377;Pays d'Hasparren
64154;1197;Garazi Baigorri
64273;2655;Iholdi Oztibarre
64265;1710;Iholdi Oztibarre
64314;1819;Iholdi Oztibarre
64045;533;Iholdi Oztibarre
64106;565;Amikuze
64533;1518;Soule Xiberoa
64404;2071;Soule Xiberoa
64222;833;Soule Xiberoa
64010;946;Amikuze
64289;2343;Pays d'Hasparren
64228;840;Amikuze
64235;313;Amikuze
64120;2487;Amikuze
64247;1185;Soule Xiberoa
64105;1122;Amikuze
64468;993;Soule Xiberoa
64017;585;Soule Xiberoa
64019;1513;Amikuze
64527;1696;Errobi
64297;439;Garazi Baigorri
64026;1235;Garazi Baigorri
64018;767;Amikuze
64294;880;Amikuze
64035;1071;Sud Pays Basque
64496;781;Nive Adour
64123;3034;Pays de Bidache
64249;150;Sud Pays Basque
64125;1219;Cote Basque Adour
64024;2722;Cote Basque Adour
64424;3100;Soule Xiberoa
64187;754;Soule Xiberoa
64081;4691;Soule Xiberoa
64214;979;Soule Xiberoa
64435;654;Amikuze
64049;1789;Amikuze
64487;3031;Iholdi Oztibarre
64202;2167;Amikuze
64161;3424;Pays de Bidache
64391;1644;Soule Xiberoa
64279;3942;Errobi
64047;2115;Garazi Baigorri
64492;3019;Garazi Baigorri
64327;5815;Garazi Baigorri
64495;6548;Sud Pays Basque
64543;2628;Garazi Baigorri
64016;2323;Garazi Baigorri
64218;4564;Garazi Baigorri
64256;7741;Pays d'Hasparren
64250;2491;Pays de Bidache
64094;4282;Pays de Bidache
64546;1917;Nive Adour
64038;1766;Errobi
64134;101;Pays d'Hasparren
64489;1480;Pays d'Hasparren
64274;943;Garazi Baigorri
64317;1091;Errobi
64558;1718;Nive Adour
64100;658;Errobi
64160;2263;Errobi
64350;742;Errobi
64066;588;Garazi Baigorri
64538;1165;Garazi Baigorri
64436;4268;Garazi Baigorri
64086;2783;Pays d'Hasparren
64275;785;Garazi Baigorri
64484;1166;Garazi Baigorri
64065;1931;Sud Pays Basque
64267;891;Iholdi Oztibarre
64285;1531;Iholdi Oztibarre
64046;1751;Iholdi Oztibarre
64528;1191;Iholdi Oztibarre
64268;967;Soule Xiberoa
64559;1271;Soule Xiberoa
64493;761;Amikuze
64509;886;Soule Xiberoa
64537;641;Soule Xiberoa
64258;1682;Soule Xiberoa
64319;1064;Amikuze
64375;1273;Amikuze
64429;935;Amikuze
64362;843;Amikuze
64368;819;Amikuze
64115;273;Soule Xiberoa
64050;767;Soule Xiberoa
64298;2338;Soule Xiberoa
