;1970;1979;1988;2000;2010;2020;taux_decennale;taux_1970-2020;taux_2010-2020
Amikuze;1114.0;1033.0;917.0;719.0;642.0;552.0;-13.10;-0.50;-0.14
Cote Basque Adour;285.0;214.0;157.0;141.0;49.0;29.0;-36.68;-0.90;-0.41
Errobi;798.0;834.0;699.0;636.0;418.0;324.0;-16.50;-0.59;-0.22
Garazi Baigorri;1579.0;1386.0;1223.0;1032.0;875.0;770.0;-13.38;-0.51;-0.12
Iholdi Oztibarre;619.0;576.0;518.0;443.0;386.0;356.0;-10.47;-0.42;-0.08
Nive Adour;423.0;412.0;320.0;292.0;113.0;93.0;-26.14;-0.78;-0.18
Pays de Bidache;507.0;471.0;416.0;333.0;256.0;231.0;-14.55;-0.54;-0.10
Pays d'Hasparren;1074.0;1090.0;852.0;717.0;576.0;508.0;-13.91;-0.53;-0.12
Soule Xiberoa;1456.0;1286.0;1096.0;875.0;746.0;601.0;-16.22;-0.59;-0.19
Sud Pays Basque;1021.0;1167.0;846.0;754.0;394.0;313.0;-21.06;-0.69;-0.21
Ca du Pays Basque;8876.0;8469.0;7044.0;5942.0;4455.0;3777.0;-15.71;-0.57;-0.15
France;1591036;1270085;1088731;763953;603884;496365;-20.78;-0.69;-0.18
