lib;2010_n;2020_n;evol;part
nombre total d'exploitations;642;552;-0,140186915887851;1
agriculture biologique;9;43;3,77777777777778;0,0778985507246377
autres signes officiels de qualité (yc vin et hors bio)  dont;224;202;-0,0982142857142857;0,365942028985507
  AOP;116;106;-0,0862068965517241;0,192028985507246
  IGP;43;62;0,441860465116279;0,11231884057971
  Label rouge;152;130;-0,144736842105263;0,235507246376812
activités de transformation (hors vinification à la ferme)  dont;15;61;3,06666666666667;0,110507246376812
  transformation de lait;6;17;1,83333333333333;0,0307971014492754
  transformation ou découpe de viande;;33;;0,0597826086956522
  transformation de fruits et/ou légumes;;8;;0,0144927536231884
activités de diversification  dont;26;58;1,23076923076923;0,105072463768116
  travail à façon;7;29;3,14285714285714;0,052536231884058
  tourisme - hébergement - loisirs;8;4;-0,5;0,0072463768115942
  énergie renouvelable (pour la vente);3;22;6,33333333333333;0,0398550724637681
circuits courts (hors vin)  dont;64;88;0,375;0,159420289855073
  vente directe (hors vin);62;78;0,258064516129032;0,141304347826087
