lib;2010_n;2010_surf;2010_irri;2020_n;2020_surf;2020_irri;2020_nbio;2020_surfbio;part
total SAU  dont;414;6954,31;3,33;315;6331,29;19,81;47;590,97;0,0933411674398108
céréales;89;529,74;0;80;455,6;0;8;24,77;0,0543678665496049
oléagineux;-999;-999;0;-999;-999;0;0;0;0
protéagineux et légumes secs pour leur graine;0;0;0;0;0;0;0;0;
plantes à fibres et plantes industrielles diverses;0;0;0;0;0;0;0;0;
plantes à parfum, aromatiques, médicinales;82;80,19;0,26;92;152,94;4,22;24;38,93;0,254544265725121
pommes de terre;3;0,42;0;-999;-999;-999;0;0;0
légumes frais, plants de légumes, melons ou fraises;32;32,48;2,82;39;63,56;12,55;17;26,57;0,418030207677785
fourrages annuels;71;483,12;0;32;229,09;0;-999;-999;-999
prairies;354;5755,5;0;274;5352,66;-999;36;476,51;0,0890230278029989
fleurs et plantes ornementales;4;0,51;-999;-999;-999;-999;0;0;0
vignes;15;3,91;0;5;1,17;0;0;0;0
cultures fruitières;14;16,23;0;19;24,3;-999;12;16,85;0,693415637860082
jachères;14;41,79;;18;38,75;0;4;5,78;0,149161290322581
