codgeo;libgeo;otefdd_coef17;otex_fts;
64008;Ahaxe-Alciette-Bascassan;4813;ovins ou caprins;
64011;Aincille;4813;ovins ou caprins;
64013;Ainhice-Mongelos;4813;ovins ou caprins;
64016;Aldudes;4813;ovins ou caprins;
64026;Anhaux;4813;ovins ou caprins;
64047;Arnéguy;4813;ovins ou caprins;
64066;Ascarat;4813;ovins ou caprins;
64092;Banca;4813;ovins ou caprins;
64107;Béhorléguy;4813;ovins ou caprins;
64124;Bidarray;4813;ovins ou caprins;
64154;Bussunarits-Sarrasquette;4813;ovins ou caprins;
64155;Bustince-Iriberry;4813;ovins ou caprins;
64166;Caro;4600;bovins viande;
64218;Estérençuby;4813;ovins ou caprins;
64229;Gamarthe;6184;polyculture et/ou polyélevage;
64274;Irouléguy;6184;polyculture et/ou polyélevage;
64275;Ispoure;6184;polyculture et/ou polyélevage;
64283;Jaxu;4813;ovins ou caprins;
64297;Lacarre;4840;équidés et/ou autres herbivores;
64322;Lasse;4813;ovins ou caprins;
64327;Lecumberry;4813;ovins ou caprins;
64379;Mendive;4813;ovins ou caprins;
64436;Ossès;4813;ovins ou caprins;
64477;Saint-Étienne-de-Baïgorry;4813;ovins ou caprins;
64484;Saint-Jean-le-Vieux;6184;polyculture et/ou polyélevage;
64485;Saint-Jean-Pied-de-Port;3500;viticulture;
64490;Saint-Martin-d'Arrossa;4813;ovins ou caprins;
64492;Saint-Michel;4813;ovins ou caprins;
64538;Uhart-Cize;4813;ovins ou caprins;
64543;Urepel;4813;ovins ou caprins;
