annee;otefdd_coef17;lib_oteft;n_exploit;sau_ha;ugb;etp;pbs
2010;1500;céréales et/ou oléoprotéagineux;14;283,96;16,253;9,194869;244,89419
2010;1600;autres grandes cultures;38;719,4;-999;27,027038;93,19317
2010;2800;légumes ou champignons;-999;-999;0;-999;-999
2010;2900;fleurs et/ou horticulture diverse;6;35,54;-999;6,5644132;291,19485
2010;3500;viticulture;-999;-999;0;-999;-999
2010;3900;fruits ou autres cultures permanentes;3;8,04;0;-999;415,41066
2010;4500;bovins lait;31;1001,61;1563,126;48,3425234;2069,80121
2010;4600;bovins viande;54;727,59;1124,575;44,7025588;1002,79359
2010;4700;bovins mixtes;7;341,73;559,186;12,2630678;707,05114
2010;4813;ovins ou caprins;143;2486,86;6080,9;172,0609761;7205,15102
2010;4840;équidés et/ou autres herbivores;48;662;1541,807;36,41832;1595,08434
2010;5100;porcins;-999;-999;-999;-999;-999
2010;5200;volailles;5;36,05;55,19;4,5099782;-999
2010;5374;combinaisons de granivores (porcins, volailles);9;17,75;35,325;5,2742906;44,70038
2010;6184;polyculture et/ou polyélevage;33;479,38;324,684;31,3142804;710,19278
2020;1500;céréales et/ou oléoprotéagineux;12;252,52;-999;9,375;203,81391
2020;1600;autres grandes cultures;48;481,33;-999;41,0090476;156,68747
2020;2800;légumes ou champignons;13;98,02;108,88;18,98;910,92572
2020;2900;fleurs et/ou horticulture diverse;8;37,42;-999;14,3751587;422,93812
2020;3500;viticulture;-999;-999;0;-999;-999
2020;3900;fruits ou autres cultures permanentes;4;10,9;0;3,781746;115,9903
2020;4500;bovins lait;13;564,16;847,784;18,4247619;1140,20585
2020;4600;bovins viande;44;1027,31;1688,92;41,266746;1551,23525
2020;4700;bovins mixtes;6;126,96;313,854;6,375;350,76681
2020;4813;ovins ou caprins;104;2524,33;4890,034;138,3375397;5637,22645
2020;4840;équidés et/ou autres herbivores;33;768,75;1714,82;37,1735714;1809,34069
2020;5100;porcins;4;67,76;188,59;4,7138889;121,47774
2020;5200;volailles;-999;-999;-999;-999;-999
2020;5374;combinaisons de granivores (porcins, volailles);3;18,88;43,805;2,5952381;41,29328
2020;6184;polyculture et/ou polyélevage;18;467,67;435,946;44,0094444;1266,35429
2020;9000;non classées;-999;-999;0;-999;-999
