insee_com;territoire;;;
64010;CA du Pays Basque;;;
64018;CA du Pays Basque;;;
64019;CA du Pays Basque;;;
64034;CA du Pays Basque;;;
64036;CA du Pays Basque;;;
64049;CA du Pays Basque;;;
64051;CA du Pays Basque;;;
64105;CA du Pays Basque;;;
64106;CA du Pays Basque;;;
64120;CA du Pays Basque;;;
64202;CA du Pays Basque;;;
64221;CA du Pays Basque;;;
64228;CA du Pays Basque;;;
64235;CA du Pays Basque;;;
64272;CA du Pays Basque;;;
64294;CA du Pays Basque;;;
64319;CA du Pays Basque;;;
64345;CA du Pays Basque;;;
64362;CA du Pays Basque;;;
64368;CA du Pays Basque;;;
64375;CA du Pays Basque;;;
64425;CA du Pays Basque;;;
64429;CA du Pays Basque;;;
64435;CA du Pays Basque;;;
64441;CA du Pays Basque;;;
64493;CA du Pays Basque;;;
64539;CA du Pays Basque;;;
64024;CA du Pays Basque;;;
64102;CA du Pays Basque;;;
64122;CA du Pays Basque;;;
64125;CA du Pays Basque;;;
64140;CA du Pays Basque;;;
64038;CA du Pays Basque;;;
64100;CA du Pays Basque;;;
64160;CA du Pays Basque;;;
64213;CA du Pays Basque;;;
64255;CA du Pays Basque;;;
64279;CA du Pays Basque;;;
64282;CA du Pays Basque;;;
64317;CA du Pays Basque;;;
64350;CA du Pays Basque;;;
64527;CA du Pays Basque;;;
64547;CA du Pays Basque;;;
64008;CA du Pays Basque;;;
64011;CA du Pays Basque;;;
64013;CA du Pays Basque;;;
64016;CA du Pays Basque;;;
64026;CA du Pays Basque;;;
64047;CA du Pays Basque;;;
64066;CA du Pays Basque;;;
64092;CA du Pays Basque;;;
64107;CA du Pays Basque;;;
64124;CA du Pays Basque;;;
64154;CA du Pays Basque;;;
64155;CA du Pays Basque;;;
64166;CA du Pays Basque;;;
64218;CA du Pays Basque;;;
64229;CA du Pays Basque;;;
64274;CA du Pays Basque;;;
64275;CA du Pays Basque;;;
64283;CA du Pays Basque;;;
64297;CA du Pays Basque;;;
64322;CA du Pays Basque;;;
64327;CA du Pays Basque;;;
64379;CA du Pays Basque;;;
64436;CA du Pays Basque;;;
64477;CA du Pays Basque;;;
64484;CA du Pays Basque;;;
64485;CA du Pays Basque;;;
64490;CA du Pays Basque;;;
64492;CA du Pays Basque;;;
64538;CA du Pays Basque;;;
64543;CA du Pays Basque;;;
64045;CA du Pays Basque;;;
64046;CA du Pays Basque;;;
64150;CA du Pays Basque;;;
64265;CA du Pays Basque;;;
64267;CA du Pays Basque;;;
64271;CA du Pays Basque;;;
64273;CA du Pays Basque;;;
64285;CA du Pays Basque;;;
64313;CA du Pays Basque;;;
64314;CA du Pays Basque;;;
64437;CA du Pays Basque;;;
64487;CA du Pays Basque;;;
64528;CA du Pays Basque;;;
64304;CA du Pays Basque;;;
64407;CA du Pays Basque;;;
64496;CA du Pays Basque;;;
64540;CA du Pays Basque;;;
64546;CA du Pays Basque;;;
64558;CA du Pays Basque;;;
64031;CA du Pays Basque;;;
64094;CA du Pays Basque;;;
64113;CA du Pays Basque;;;
64123;CA du Pays Basque;;;
64161;CA du Pays Basque;;;
64250;CA du Pays Basque;;;
64502;CA du Pays Basque;;;
64086;CA du Pays Basque;;;
64134;CA du Pays Basque;;;
64147;CA du Pays Basque;;;
64256;CA du Pays Basque;;;
64259;CA du Pays Basque;;;
64277;CA du Pays Basque;;;
64289;CA du Pays Basque;;;
64364;CA du Pays Basque;;;
64377;CA du Pays Basque;;;
64476;CA du Pays Basque;;;
64489;CA du Pays Basque;;;
64012;CA du Pays Basque;;;
64015;CA du Pays Basque;;;
64017;CA du Pays Basque;;;
64050;CA du Pays Basque;;;
64081;CA du Pays Basque;;;
64093;CA du Pays Basque;;;
64115;CA du Pays Basque;;;
64162;CA du Pays Basque;;;
64187;CA du Pays Basque;;;
64188;CA du Pays Basque;;;
64214;CA du Pays Basque;;;
64222;CA du Pays Basque;;;
64231;CA du Pays Basque;;;
64247;CA du Pays Basque;;;
64258;CA du Pays Basque;;;
64268;CA du Pays Basque;;;
64298;CA du Pays Basque;;;
64303;CA du Pays Basque;;;
64316;CA du Pays Basque;;;
64264;CA du Pays Basque;;;
64340;CA du Pays Basque;;;
64341;CA du Pays Basque;;;
64342;CA du Pays Basque;;;
64371;CA du Pays Basque;;;
64378;CA du Pays Basque;;;
64391;CA du Pays Basque;;;
64404;CA du Pays Basque;;;
64411;CA du Pays Basque;;;
64424;CA du Pays Basque;;;
64432;CA du Pays Basque;;;
64468;CA du Pays Basque;;;
64475;CA du Pays Basque;;;
64509;CA du Pays Basque;;;
64533;CA du Pays Basque;;;
64537;CA du Pays Basque;;;
64559;CA du Pays Basque;;;
64009;CA du Pays Basque;;;
64014;CA du Pays Basque;;;
64035;CA du Pays Basque;;;
64065;CA du Pays Basque;;;
64130;CA du Pays Basque;;;
64189;CA du Pays Basque;;;
64249;CA du Pays Basque;;;
64260;CA du Pays Basque;;;
64483;CA du Pays Basque;;;
64495;CA du Pays Basque;;;
64504;CA du Pays Basque;;;
64545;CA du Pays Basque;;;
