lib;2010_ugb;2010_n;2010_tetes;2010_bio;2020_ugb;2020_n;2020_tetes;2020_bio
total ensemble du cheptel;225911,05;4005;;;210994,022;3180;;173
total bovins;100254,28;2839;119167;;83348,19;2069;99470;59
    vaches laitières;15822,4;388;10912;;10226,85;256;7053;13
    vaches allaitantes;42270,3;2493;46967;;37246,5;1877;41385;
total ovins;97455,83;2332;536246;;98107,26;1912;564029;88
    brebis mères laitières;79339,6;1734;396698;;73602,4;1392;368012;69
    brebis mères allaitantes;5694,49;563;33497;;7404,86;564;43558;28
total caprins;704,36;107;2890;;1698,98;82;6995;11
    chèvres;588,6;97;1962;;1464,3;79;4881;
total équins;6111,6;811;6667;;5725,9;534;5780;37
    juments selle;1390,5;194;1545;;1969,2;198;2188;
    juments lourdes;2069;318;2069;;1959;264;1959;
total porcins;12782,89;848;45018;;11098,04;298;40415;22
    truies;824,25;67;3925;;352,38;47;1678;
total volailles;7999,22;2371;501630;;10976,574;458;716237;39
    poules pondeuses d'œufs<br />    de consommation;1430,1;2221;102150;;1659,938;305;118567;29
    poulets de chair et coqs;1604,108;455;145828;;3436,664;77;312424;6
lapines mères;602,87;721;3610;;39,078;62;234;3
apiculture (nombre de ruches);;66;4769;;;50;11934;16
