lib;2010_n;2020_n;evol;part
nombre total d'exploitations;418;324;-0,22488038277512;1
agriculture biologique;9;49;4,44444444444444;0,151234567901235
autres signes officiels de qualité (yc vin et hors bio)  dont;134;144;0,0746268656716418;0,444444444444444
  AOP;133;139;0,0451127819548873;0,429012345679012
  IGP;-999;10;-999;0,0308641975308642
  Label rouge;6;12;1;0,037037037037037
activités de transformation (hors vinification à la ferme)  dont;58;110;0,896551724137931;0,339506172839506
  transformation de lait;9;14;0,555555555555556;0,0432098765432099
  transformation ou découpe de viande;;19;;0,058641975308642
  transformation de fruits et/ou légumes;;28;;0,0864197530864197
activités de diversification  dont;27;50;0,851851851851852;0,154320987654321
  travail à façon;-999;18;-999;0,0555555555555556
  tourisme - hébergement - loisirs;21;20;-0,0476190476190477;0,0617283950617284
  énergie renouvelable (pour la vente);-999;4;-999;0,0123456790123457
circuits courts (hors vin)  dont;111;118;0,0630630630630631;0,364197530864197
  vente directe (hors vin);81;95;0,17283950617284;0,29320987654321
