insee_com;territoire;;;
64008;Garazi Baigorri;;;
64011;Garazi Baigorri;;;
64013;Garazi Baigorri;;;
64016;Garazi Baigorri;;;
64026;Garazi Baigorri;;;
64047;Garazi Baigorri;;;
64066;Garazi Baigorri;;;
64092;Garazi Baigorri;;;
64107;Garazi Baigorri;;;
64124;Garazi Baigorri;;;
64154;Garazi Baigorri;;;
64155;Garazi Baigorri;;;
64166;Garazi Baigorri;;;
64218;Garazi Baigorri;;;
64229;Garazi Baigorri;;;
64274;Garazi Baigorri;;;
64275;Garazi Baigorri;;;
64283;Garazi Baigorri;;;
64297;Garazi Baigorri;;;
64322;Garazi Baigorri;;;
64327;Garazi Baigorri;;;
64379;Garazi Baigorri;;;
64436;Garazi Baigorri;;;
64477;Garazi Baigorri;;;
64484;Garazi Baigorri;;;
64485;Garazi Baigorri;;;
64490;Garazi Baigorri;;;
64492;Garazi Baigorri;;;
64538;Garazi Baigorri;;;
64543;Garazi Baigorri;;;
