annee;otefdd_coef17;lib_oteft;n_exploit;sau_ha;ugb;etp;pbs
2010;1500;céréales et/ou oléoprotéagineux;-999;-999;0;-999;-999
2010;1600;autres grandes cultures;22;276,65;-999;8,672671;21,91636
2010;2900;fleurs et/ou horticulture diverse;-999;-999;0;-999;-999
2010;3500;viticulture;29;494,24;361,933;51,4541485;3511,68086
2010;3900;fruits ou autres cultures permanentes;5;64,78;-999;5,5065414;763,90069
2010;4500;bovins lait;33;1253,83;2263,824;56,9570597;2987,46603
2010;4600;bovins viande;103;2786,05;4189,493;115,8256051;3279,43274
2010;4700;bovins mixtes;-999;-999;-999;-999;-999
2010;4813;ovins ou caprins;564;15766,34;37278,512;818,7336939;40700,38948
2010;4840;équidés et/ou autres herbivores;63;1576,22;2553,104;64,7368996;2726,23467
2010;5100;porcins;10;191,92;1561,33;22,875;2794,01725
2010;5200;volailles;4;90,04;-999;11,9583333;1486,51921
2010;5374;combinaisons de granivores (porcins, volailles);-999;-999;-999;-999;-999
2010;6184;polyculture et/ou polyélevage;35;574,06;854,196;44,4162155;1849,58068
2010;9000;non classées;-999;0;0;-999;-999
2020;1500;céréales et/ou oléoprotéagineux;3;59,91;0;1,375;-999
2020;1600;autres grandes cultures;38;363,89;0;17,3435714;13,57965
2020;2800;légumes ou champignons;-999;-999;0;-999;-999
2020;2900;fleurs et/ou horticulture diverse;-999;-999;0;-999;-999
2020;3500;viticulture;29;449,41;276,382;61,5429365;3684,75774
2020;3900;fruits ou autres cultures permanentes;6;50,82;-999;7,0542857;333,98013
2020;4500;bovins lait;23;965,05;1880,922;39,8340476;2465,17912
2020;4600;bovins viande;98;2809,48;4269,039;110,1266667;3414,33146
2020;4700;bovins mixtes;7;337,5;835,79;13,375;991,01283
2020;4813;ovins ou caprins;484;15086,3;35221,391;682,0045238;37821,25494
2020;4840;équidés et/ou autres herbivores;46;1230,92;2443,186;55,1261111;2477,98797
2020;5100;porcins;10;133,58;3350,758;32,4571429;2851,8543
2020;5200;volailles;4;87,24;1440,62;9,8309524;1900,24728
2020;5374;combinaisons de granivores (porcins, volailles);4;81,07;122,444;5,1694444;151,31119
2020;6184;polyculture et/ou polyélevage;15;456;669,681;23,2144444;1521,2068
