lib;2010_n;2010_surf;2010_irri;2020_n;2020_surf;2020_irri;2020_nbio;2020_surfbio;part
total SAU  dont;848;23245,24;7,7;761;22115,04;34,34;59;1153,05;0,0521387255008356
céréales;43;148,21;0;60;251,05;-999;12;32,23;0,128380800637323
oléagineux;0;0;0;-999;-999;-999;0;0;0
protéagineux et légumes secs pour leur graine;-999;-999;0;0;0;0;0;0;
plantes à fibres et plantes industrielles diverses;0;0;0;0;0;0;0;0;
plantes à parfum, aromatiques, médicinales;-999;-999;0;3;1,05;-999;-999;-999;-999
pommes de terre;-999;-999;-999;8;0,52;-999;0;0;0
légumes frais, plants de légumes, melons ou fraises;5;2,51;2,43;23;11,27;4,6;5;7,16;0,635314995563443
fourrages annuels;195;937,65;0;93;534,8;-999;-999;-999;-999
prairies;826;21884,01;0;746;21019,18;-999;40;996,1;0,0473900504206158
fleurs et plantes ornementales;-999;-999;-999;-999;-999;-999;0;0;0
vignes;106;241,6;0;71;251,55;0;20;101,11;0,401947922878156
cultures fruitières;7;14,12;-999;11;16,12;-999;7;12,17;0,754962779156327
jachères;7;0,8;;6;2,76;0;-999;-999;-999
