lib;2010_n;2020_n;evol;part
nombre total d'exploitations;875;770;-0,12;1
agriculture biologique;20;61;2,05;0,0792207792207792
autres signes officiels de qualité (yc vin et hors bio)  dont;450;416;-0,0755555555555556;0,54025974025974
  AOP;409;384;-0,0611246943765281;0,498701298701299
  IGP;10;32;2,2;0,0415584415584416
  Label rouge;195;103;-0,471794871794872;0,133766233766234
activités de transformation (hors vinification à la ferme)  dont;77;137;0,779220779220779;0,177922077922078
  transformation de lait;57;78;0,368421052631579;0,101298701298701
  transformation ou découpe de viande;;68;;0,0883116883116883
  transformation de fruits et/ou légumes;;6;;0,00779220779220779
activités de diversification  dont;52;87;0,673076923076923;0,112987012987013
  travail à façon;6;35;4,83333333333333;0,0454545454545455
  tourisme - hébergement - loisirs;38;30;-0,210526315789474;0,038961038961039
  énergie renouvelable (pour la vente);0;14;Inf;0,0181818181818182
circuits courts (hors vin)  dont;114;174;0,526315789473684;0,225974025974026
  vente directe (hors vin);105;146;0,39047619047619;0,18961038961039
