lib;2010_ugb;2010_n;2010_tetes;2010_bio;2020_ugb;2020_n;2020_tetes;2020_bio
total ensemble du cheptel;3448,083;92;;;2614,417;62;;4
total bovins;1749,42;62;1949;;1064,4;34;1186;-999
    vaches laitières;527,8;20;364;;269,7;8;186;-999
    vaches allaitantes;567;44;630;;368,1;29;409;
total ovins;172,18;25;1042;;264,22;17;1717;0
    brebis mères laitières;86,6;7;433;;82,4;3;412;0
    brebis mères allaitantes;46,24;17;272;;115,6;14;680;0
total caprins;2,52;3;10;;-999;-999;-999;0
    chèvres;2,4;3;8;;-999;-999;-999;
total équins;107,4;19;115;;67,8;10;70;0
    juments selle;10,8;6;12;;23,4;6;26;
    juments lourdes;33;5;33;;14;3;14;
total porcins;1084,82;14;4244;;881,44;6;3188;0
    truies;-999;-999;-999;;0;0;0;
total volailles;323,059;52;24351;;333,137;10;25853;0
    poules pondeuses d'œufs<br />    de consommation;11,046;47;789;;4,172;5;298;0
    poulets de chair et coqs;207,9;4;18900;;233,2;3;21200;0
lapines mères;8,684;13;52;;0;0;0;0
apiculture (nombre de ruches);;-999;-999;;;5;1244;3
