lib;2010_n;2010_surf;2010_irri;2020_n;2020_surf;2020_irri;2020_nbio;2020_surfbio;part
total SAU  dont;113;1858,93;12,66;90;1668,84;20,84;6;65,97;0,0395304522902136
céréales;35;274,5;0;32;278,57;0;0;0;0
oléagineux;0;0;0;-999;-999;0;0;0;0
protéagineux et légumes secs pour leur graine;0;0;0;0;0;0;0;0;
plantes à fibres et plantes industrielles diverses;0;0;0;0;0;0;0;0;
plantes à parfum, aromatiques, médicinales;-999;-999;0,58;-999;-999;-999;-999;-999;-999
pommes de terre;-999;-999;0;-999;-999;-999;0;0;0
légumes frais, plants de légumes, melons ou fraises;6;12,4;11,13;11;23,15;17,93;3;5,59;0,2414686825054
fourrages annuels;28;228,67;0;13;96,65;0;-999;-999;-999
prairies;107;1286,83;0;81;1236,79;-999;4;48,17;0,0389475982179675
fleurs et plantes ornementales;-999;-999;-999;-999;-999;-999;-999;-999;-999
vignes;-999;-999;0;-999;-999;0;0;0;0
cultures fruitières;-999;-999;0;4;5,97;0;-999;-999;-999
jachères;-999;23,7;;6;7,48;0;0;0;0
