lib;2010_ugb;2010_n;2010_tetes;2010_bio;2020_ugb;2020_n;2020_tetes;2020_bio
total ensemble du cheptel;30144,072;537;;;28366,974;450;;24
total bovins;14165,85;382;15546;;11434,67;284;12970;7
    vaches laitières;4435,55;103;3059;;2739,05;65;1889;-999
    vaches allaitantes;4392;291;4880;;4206,6;230;4674;
total ovins;12818,85;321;70785;;13412,81;263;76707;18
    brebis mères laitières;10397,6;226;51988;;10140,4;179;50702;16
    brebis mères allaitantes;660,79;82;3887;;1055,19;84;6207;4
total caprins;76,74;14;295;;542,9;15;2283;-999
    chèvres;68,1;14;227;;466,8;15;1556;
total équins;678,1;112;756;;671,9;68;701;5
    juments selle;130,5;17;145;;306,9;29;341;
    juments lourdes;253;49;253;;166;27;166;
total porcins;1545,08;133;5282;;1378,94;35;4845;5
    truies;44,94;8;214;;14,28;5;68;
total volailles;772,779;312;49809;;918,907;65;54751;4
    poules pondeuses d'œufs<br />    de consommation;64,89;299;4635;;162,386;44;11599;3
    poulets de chair et coqs;-999;-999;-999;;192,302;9;17482;-999
lapines mères;86,673;146;519;;6,847;11;41;0
apiculture (nombre de ruches);;8;144;;;7;756;-999
