codgeo;libgeo;otefdd_coef17;otex_fts;
64086;Ayherre;4813;ovins ou caprins;
64134;Bonloc;4813;ovins ou caprins;
64147;Briscous;4813;ovins ou caprins;
64256;Hasparren;4840;équidés et/ou autres herbivores;
64259;Hélette;4840;équidés et/ou autres herbivores;
64277;Isturits;4813;ovins ou caprins;
64289;La Bastide-Clairence;4813;ovins ou caprins;
64364;Macaye;4840;équidés et/ou autres herbivores;
64377;Mendionde;6184;polyculture et/ou polyélevage;
64476;Saint-Esteben;4813;ovins ou caprins;
64489;Saint-Martin-d'Arberoue;4813;ovins ou caprins;
