lib;2010_ugb;2010_n;2010_tetes;2010_bio;2020_ugb;2020_n;2020_tetes;2020_bio
total ensemble du cheptel;13142,018;223;;;11245,08;159;;7
total bovins;8794,1;147;10057;;6335,62;104;7311;6
    vaches laitières;2317,1;34;1598;;1293,4;19;892;-999
    vaches allaitantes;3078;112;3420;;2245,5;84;2495;
total ovins;648,35;31;3659;;865;22;5361;0
    brebis mères laitières;450,2;10;2251;;475,2;8;2376;0
    brebis mères allaitantes;105,91;18;623;;166,6;14;980;0
total caprins;23,92;6;144;;-999;-999;-999;0
    chèvres;8,1;5;27;;-999;-999;-999;
total équins;236,3;35;255;;305,2;22;312;3
    juments selle;52,2;15;58;;98,1;16;109;
    juments lourdes;26;5;26;;46;5;46;
total porcins;950,66;39;3322;;145,2;7;548;-999
    truies;75,6;5;360;;-999;-999;-999;
total volailles;2459,129;164;144186;;3582,436;56;229534;-999
    poules pondeuses d'œufs<br />    de consommation;39,886;138;2849;;19,18;21;1370;-999
    poulets de chair et coqs;570,801;26;51891;;1433,762;12;130342;-999
lapines mères;29,559;36;177;;2,004;4;12;0
apiculture (nombre de ruches);;4;69;;;-999;-999;0
