lib;2010_n;2020_n;evol;part
nombre total d'exploitations;256;231;-0,09765625;1
agriculture biologique;7;15;1,14285714285714;0,0649350649350649
autres signes officiels de qualité (yc vin et hors bio)  dont;54;57;0,0555555555555556;0,246753246753247
  AOP;4;10;1,5;0,0432900432900433
  IGP;27;29;0,0740740740740742;0,125541125541126
  Label rouge;29;34;0,172413793103448;0,147186147186147
activités de transformation (hors vinification à la ferme)  dont;-999;17;-999;0,0735930735930736
  transformation de lait;0;-999;-999;-999
  transformation ou découpe de viande;;10;;0,0432900432900433
  transformation de fruits et/ou légumes;;4;;0,0173160173160173
activités de diversification  dont;11;42;2,81818181818182;0,181818181818182
  travail à façon;3;23;6,66666666666667;0,0995670995670996
  tourisme - hébergement - loisirs;5;9;0,8;0,038961038961039
  énergie renouvelable (pour la vente);0;12;Inf;0,051948051948052
circuits courts (hors vin)  dont;25;39;0,56;0,168831168831169
  vente directe (hors vin);24;36;0,5;0,155844155844156
