insee_com;territoire;;;
64012;Soule Xiberoa;;;
64015;Soule Xiberoa;;;
64017;Soule Xiberoa;;;
64050;Soule Xiberoa;;;
64081;Soule Xiberoa;;;
64093;Soule Xiberoa;;;
64115;Soule Xiberoa;;;
64162;Soule Xiberoa;;;
64187;Soule Xiberoa;;;
64188;Soule Xiberoa;;;
64214;Soule Xiberoa;;;
64222;Soule Xiberoa;;;
64231;Soule Xiberoa;;;
64247;Soule Xiberoa;;;
64258;Soule Xiberoa;;;
64268;Soule Xiberoa;;;
64298;Soule Xiberoa;;;
64303;Soule Xiberoa;;;
64316;Soule Xiberoa;;;
64264;Soule Xiberoa;;;
64340;Soule Xiberoa;;;
64341;Soule Xiberoa;;;
64342;Soule Xiberoa;;;
64371;Soule Xiberoa;;;
64378;Soule Xiberoa;;;
64391;Soule Xiberoa;;;
64404;Soule Xiberoa;;;
64411;Soule Xiberoa;;;
64424;Soule Xiberoa;;;
64432;Soule Xiberoa;;;
64468;Soule Xiberoa;;;
64475;Soule Xiberoa;;;
64509;Soule Xiberoa;;;
64533;Soule Xiberoa;;;
64537;Soule Xiberoa;;;
64559;Soule Xiberoa;;;
