lib;2010_n;2010_surf;2010_irri;2020_n;2020_surf;2020_irri;2020_nbio;2020_surfbio;part
total SAU  dont;739;23736,49;325,41;595;23102,71;371,92;34;1067,46;0,0462049690274431
céréales;294;1545,49;298,73;220;1626,95;286,84;10;95,91;0,058950797504533
oléagineux;-999;-999;0;14;102,9;19,41;0;0;0
protéagineux et légumes secs pour leur graine;-999;-999;0;-999;-999;0;-999;-999;-999
plantes à fibres et plantes industrielles diverses;-999;-999;0;0;0;0;0;0;
plantes à parfum, aromatiques, médicinales;-999;-999;0;-999;-999;0;0;0;0
pommes de terre;-999;-999;-999;12;1,16;0;0;0;0
légumes frais, plants de légumes, melons ou fraises;8;19,02;16,78;19;50,48;27,92;-999;-999;-999
fourrages annuels;259;837,11;-999;109;363,56;-999;-999;-999;-999
prairies;719;21275,95;0;586;20850,67;19,92;31;921,52;0,044196181705432
fleurs et plantes ornementales;-999;-999;-999;0;0;0;0;0;
vignes;5;1,29;0;7;1,27;0;0;0;0
cultures fruitières;4;7,32;6;10;18,33;8,9;6;11,72;0,639388979814512
jachères;4;28,09;;19;63,54;0;0;0;0
