codgeo;libgeo;otefdd_coef17;otex_fts;
64009;Ahetze;4700;bovins mixtes;
64014;Ainhoa;4813;ovins ou caprins;
64035;Arbonne;6184;polyculture et/ou polyélevage;
64065;Ascain;4840;équidés et/ou autres herbivores;
64130;Biriatou;6184;polyculture et/ou polyélevage;
64189;Ciboure;6184;polyculture et/ou polyélevage;
64249;Guéthary;2800;légumes ou champignons;
64260;Hendaye;6184;polyculture et/ou polyélevage;
64483;Saint-Jean-de-Luz;6184;polyculture et/ou polyélevage;
64495;Saint-Pée-sur-Nivelle;4813;ovins ou caprins;
64504;Sare;4840;équidés et/ou autres herbivores;
64545;Urrugne;4813;ovins ou caprins;
