;1970;1979;1988;2000;2010;2020;taux_decennale;taux_1970-2020;taux_2010-2020
Amikuze;16.3318222621185;19.1607066795741;21.9924972737187;32.2074965229485;34.3858099688473;38.6511956521739;18,8;1,37;0,12
Cote Basque Adour;5.54087719298246;4.96542056074766;6.68783439490446;6.96624113475177;8.56714285714286;9.22551724137931;10,73;0,66;0,08
Errobi;10.7077694235589;9.23376498800959;12.1155793991416;13.9025;16.6371052631579;19.5410185185185;12,78;0,82;0,17
Garazi Baigorri;11.6571374287524;16.3979220779221;17.3719705641864;23.9876065891473;26.5659885714286;28.7208311688312;19,76;1,46;0,08
Iholdi Oztibarre;17.4231502423263;21.5399305555556;23.9535135135135;33.632776523702;34.6569689119171;37.7577247191011;16,73;1,17;0,09
Nive Adour;8.17335697399527;8.89279126213592;9.80703125;8.34260273972603;16.4507079646018;17.9445161290323;17,03;1,2;0,09
Pays de Bidache;17.8091715976331;20.8095329087049;23.2353365384615;30.4185885885886;37.363671875;39.744632034632;17,42;1,23;0,06
Pays d'Hasparren;13.4096927374302;13.4811743119266;16.4774882629108;24.3991492329149;28.3104340277778;30.8181102362205;18,11;1,3;0,09
Soule Xiberoa;15.7627266483517;17.1933281493002;17.9512682481752;29.5015885714286;31.8183512064343;38.4404492512479;19,52;1,44;0,21
Sud Pays Basque;7.98287952987267;7.44863753213368;9.49615839243499;11.3062334217507;17.4059898477157;20.6157827476038;20,89;1,58;0,18
Ca du Pays Basque;13.0124819738621;14.4826862675641;16.7363784781374;23.0619925950858;27.9232121212121;31.652629070691;19,46;1,43;0,13
France;;;;;;;;;
