echelle;categorie;type;annee;valeur;surface;irrigation;nombre_exploitation_bio;surface_bio
Amikuze;Surface;légumes frais, plants de légumes, melons ou fraises;2010;5;8,26;2,33;0;0
Amikuze;Surface;plantes à parfum, aromatiques, médicinales;2010;0;0;0;0;0
Amikuze;Surface;total SAU  dont;2010;628;22075,69;1741,2;0;0
Amikuze;Surface;céréales;2010;377;4095,2;1570,44;0;0
Amikuze;Surface;pommes de terre;2010;6;3,67;-999;0;0
Amikuze;Surface;fourrages annuels;2010;301;1715,01;130,46;0;0
Amikuze;Surface;fleurs et plantes ornementales;2010;3;0,84;0,84;0;0
Amikuze;Surface;oléagineux;2010;15;44,35;0;0;0
Amikuze;Surface;plantes à fibres et plantes industrielles diverses;2010;8;41,37;15,4;0;0
Amikuze;Surface;prairies;2010;593;16013,41;-999;0;0
Amikuze;Surface;vignes;2010;19;4,14;0;0;0
Amikuze;Surface;cultures fruitières;2010;10;16,73;11,86;0;0
Amikuze;Surface;jachères;2010;10;113,86;0;0;0
Amikuze;Surface;protéagineux et légumes secs pour leur graine;2010;-999;-999;0;0;0
Amikuze;Surface;vignes;2020;13;15,03;0;0;0
Amikuze;Surface;pommes de terre;2020;9;0,43;0;-999;0
Amikuze;Surface;protéagineux et légumes secs pour leur graine;2020;9;30,62;0;3;11,24
Amikuze;Surface;plantes à parfum, aromatiques, médicinales;2020;5;0,97;0,31;-999;0
Amikuze;Surface;légumes frais, plants de légumes, melons ou fraises;2020;25;14,99;10,56;10;13,64
Amikuze;Surface;fourrages annuels;2020;139;811,43;34,14;4;21,43
Amikuze;Surface;céréales;2020;329;4405,46;1485,53;15;118,51
Amikuze;Surface;oléagineux;2020;94;551,9;105,3;9;58,78
Amikuze;Surface;total SAU  dont;2020;544;21335,46;1740,5;43;994,16
Amikuze;Surface;cultures fruitières;2020;23;32,94;16,05;6;3,6
Amikuze;Surface;prairies;2020;528;15276,93;70,38;37;759,38
Amikuze;Surface;plantes à fibres et plantes industrielles diverses;2020;4;10,37;9,98;0;0
Amikuze;Surface;fleurs et plantes ornementales;2020;-999;-999;-999;-999;0
Amikuze;Surface;jachères;2020;70;155,48;-999;-999;0
ca_du_pays_basque;Surface;vignes;2010;214;275,81;0;0;0
ca_du_pays_basque;Surface;prairies;2010;4156;103523,91;9,5;0;0
ca_du_pays_basque;Surface;plantes à parfum, aromatiques, médicinales;2010;117;110,89;1,93;0;0
ca_du_pays_basque;Surface;céréales;2010;1335;10932,37;2161,61;0;0
ca_du_pays_basque;Surface;protéagineux et légumes secs pour leur graine;2010;13;20,33;0;0;0
ca_du_pays_basque;Surface;légumes frais, plants de légumes, melons ou fraises;2010;107;126,38;62,37;0;0
ca_du_pays_basque;Surface;cultures fruitières;2010;86;170,91;68,75;0;0
ca_du_pays_basque;Surface;plantes à fibres et plantes industrielles diverses;2010;13;47,92;19,95;0;0
ca_du_pays_basque;Surface;fourrages annuels;2010;1501;8362,88;154,29;0;0
ca_du_pays_basque;Surface;fleurs et plantes ornementales;2010;-999;-999;8,77;0;0
ca_du_pays_basque;Surface;jachères;2010;86;479,72;0;0;0
ca_du_pays_basque;Surface;total SAU  dont;2010;4375;124397,91;2490,67;0;0
