codgeo;libgeo;otefdd_coef17;otex_fts;
64010;Aïcirits-Camou-Suhast;6184;polyculture et/ou polyélevage;
64018;Amendeuix-Oneix;4700;bovins mixtes;
64019;Amorots-Succos;4813;ovins ou caprins;
64034;Arbérats-Sillègue;6184;polyculture et/ou polyélevage;
64036;Arbouet-Sussaute;6184;polyculture et/ou polyélevage;
64049;Aroue-Ithorots-Olhaïby;4600;bovins viande;
64051;Arraute-Charritte;6184;polyculture et/ou polyélevage;
64105;Béguios;6184;polyculture et/ou polyélevage;
64106;Béhasque-Lapiste;6184;polyculture et/ou polyélevage;
64120;Beyrie-sur-Joyeuse;4813;ovins ou caprins;
64202;Domezain-Berraute;6184;polyculture et/ou polyélevage;
64221;Etcharry;4600;bovins viande;
64228;Gabat;5374;combinaisons de granivores (porcins, volailles);
64235;Garris;4600;bovins viande;
64272;Ilharre;5374;combinaisons de granivores (porcins, volailles);
64294;Labets-Biscay;6184;polyculture et/ou polyélevage;
64319;Larribar-Sorhapuru;4813;ovins ou caprins;
64345;Lohitzun-Oyhercq;6184;polyculture et/ou polyélevage;
64362;Luxe-Sumberraute;6184;polyculture et/ou polyélevage;
64368;Masparraute;6184;polyculture et/ou polyélevage;
64375;Méharin;4813;ovins ou caprins;
64425;Orègue;6184;polyculture et/ou polyélevage;
64429;Orsanco;4813;ovins ou caprins;
64435;Osserain-Rivareyte;6184;polyculture et/ou polyélevage;
64441;Pagolle;4813;ovins ou caprins;
64493;Saint-Palais;6184;polyculture et/ou polyélevage;
64539;Uhart-Mixe;4813;ovins ou caprins;
