lib;2010_n;2010_surf;2010_irri;2020_n;2020_surf;2020_irri;2020_nbio;2020_surfbio;part
total SAU  dont;628;22075,69;1741,2;544;21335,46;1740,5;43;994,16;0,0465966049009489
céréales;377;4095,2;1570,44;329;4405,46;1485,53;15;118,51;0,0269007095740286
oléagineux;15;44,35;0;94;551,9;105,3;9;58,78;0,106504801594492
protéagineux et légumes secs pour leur graine;-999;-999;0;9;30,62;0;3;11,24;0,367080339647289
plantes à fibres et plantes industrielles diverses;8;41,37;15,4;4;10,37;9,98;0;0;0
plantes à parfum, aromatiques, médicinales;0;0;0;5;0,97;0,31;-999;-999;-999
pommes de terre;6;3,67;-999;9;0,43;0;-999;-999;-999
légumes frais, plants de légumes, melons ou fraises;5;8,26;2,33;25;14,99;10,56;10;13,64;0,909939959973316
fourrages annuels;301;1715,01;130,46;139;811,43;34,14;4;21,43;0,0264101647708367
prairies;593;16013,41;-999;528;15276,93;70,38;37;759,38;0,0497076310489084
fleurs et plantes ornementales;3;0,84;0,84;-999;-999;-999;-999;-999;-999
vignes;19;4,14;0;13;15,03;0;0;0;0
cultures fruitières;10;16,73;11,86;23;32,94;16,05;6;3,6;0,109289617486339
jachères;10;113,86;;70;155,48;-999;-999;-999;-999
