lib;2010_n;2020_n;evol;part
nombre total d'exploitations;49;29;-0,408163265306123;1
agriculture biologique;0;5;Inf;0,172413793103448
autres signes officiels de qualité (yc vin et hors bio)  dont;-999;3;-999;0,103448275862069
  AOP;-999;-999;-999;-999
  IGP;0;0;;0
  Label rouge;0;3;Inf;0,103448275862069
activités de transformation (hors vinification à la ferme)  dont;0;5;Inf;0,172413793103448
  transformation de lait;0;0;;0
  transformation ou découpe de viande;;0;;0
  transformation de fruits et/ou légumes;;5;;0,172413793103448
activités de diversification  dont;-999;-999;-999;-999
  travail à façon;-999;-999;-999;-999
  tourisme - hébergement - loisirs;0;0;;0
  énergie renouvelable (pour la vente);0;0;;0
circuits courts (hors vin)  dont;21;12;-0,428571428571429;0,413793103448276
  vente directe (hors vin);17;12;-0,294117647058823;0,413793103448276
