annee;otefdd_coef17;lib_oteft;n_exploit;sau_ha;ugb;etp;pbs
2010;1500;céréales et/ou oléoprotéagineux;25;459,79;8,147;11,1710335;358,27458
2010;1600;autres grandes cultures;86;435,93;-999;70,1143827;191,98356
2010;2800;légumes ou champignons;-999;-999;-999;-999;-999
2010;2900;fleurs et/ou horticulture diverse;3;-999;0;4,25;92,71882
2010;3500;viticulture;-999;-999;-999;-999;-999
2010;3900;fruits ou autres cultures permanentes;3;32,96;-999;2,625;352,4052
2010;4500;bovins lait;18;567,33;1309,406;29,7157217;1663,11283
2010;4600;bovins viande;56;1085,61;1274,609;48,5992142;1081,20195
2010;4700;bovins mixtes;4;93,68;133,465;3,75;140,1167
2010;4813;ovins ou caprins;114;2530,22;5688,174;151,928859;6807,3779
2010;4840;équidés et/ou autres herbivores;58;942,61;1873,44;49,2849492;1981,17545
2010;5200;volailles;4;39,07;90,813;5,9166667;224,24702
2010;5374;combinaisons de granivores (porcins, volailles);10;93,57;289,802;12,4821689;438,83635
2010;6184;polyculture et/ou polyélevage;33;633,56;638,444;41,5647744;1188,00618
2020;1500;céréales et/ou oléoprotéagineux;15;421,83;-999;7,6916667;319,60603
2020;1600;autres grandes cultures;79;433,41;2,764;75,9207937;263,95923
2020;2800;légumes ou champignons;7;50,83;-999;15,4094444;746,79794
2020;2900;fleurs et/ou horticulture diverse;4;-999;-999;7,8746032;-999
2020;3900;fruits ou autres cultures permanentes;6;45,35;0;4,1055556;344,83439
2020;4500;bovins lait;6;165,86;362,86;6,9;480,93324
2020;4600;bovins viande;36;926,88;1111,555;42,4576984;941,60358
2020;4700;bovins mixtes;-999;-999;-999;-999;-999
2020;4813;ovins ou caprins;96;2715,61;6729,746;134,6161111;7789,57792
2020;4840;équidés et/ou autres herbivores;38;664,28;1428,62;30,8253968;1522,33017
2020;5100;porcins;-999;-999;-999;-999;-999
2020;5200;volailles;3;0;105,184;6,875;153,31256
2020;5374;combinaisons de granivores (porcins, volailles);-999;-999;-999;-999;-999
2020;6184;polyculture et/ou polyélevage;28;701,82;766,86;54,0287302;1749,88216
