lib;2010_ugb;2010_n;2010_tetes;2010_bio;2020_ugb;2020_n;2020_tetes;2020_bio
total ensemble du cheptel;50498,77;836;;;50532,953;705;;35
total bovins;15471,53;578;18445;;14331,66;436;16920;13
    vaches laitières;1961,85;49;1353;;1945,9;42;1342;4
    vaches allaitantes;7009,2;537;7788;;6491,7;404;7213;
total ovins;29881,4;629;162868;;29469,28;535;168335;21
    brebis mères laitières;24912;522;124560;;22417,6;421;112088;16
    brebis mères allaitantes;1517,08;108;8924;;2201,84;127;12952;7
total caprins;177,42;21;709;;162,48;17;680;-999
    chèvres;156;19;520;;133,5;17;445;
total équins;1763,1;238;1894;;1520,3;175;1556;8
    juments selle;433,8;61;482;;499,5;61;555;
    juments lourdes;777;109;777;;727;92;727;
total porcins;2018,39;123;7290;;3629,8;66;13488;4
    truies;294,63;16;1403;;105,42;14;502;
total volailles;1104,933;442;78177;;1403,568;50;103540;7
    poules pondeuses d'œufs<br />    de consommation;-999;-999;-999;;-999;42;-999;5
    poulets de chair et coqs;-999;-999;-999;;-999;8;-999;-999
lapines mères;81,997;113;491;;15,865;17;95;-999
apiculture (nombre de ruches);;12;380;;;-999;-999;-999
