annee;otefdd_coef17;lib_oteft;n_exploit;sau_ha;ugb;etp;pbs
2010;1500;céréales et/ou oléoprotéagineux;-999;-999;0;-999;-999
2010;1600;autres grandes cultures;9;107,06;-999;4,125;14,80559
2010;4500;bovins lait;13;324,13;727,691;17,375;928,75
2010;4600;bovins viande;62;1801,12;2124,367;74,176241;1730,13054
2010;4700;bovins mixtes;4;153,2;238,57;4;280,752
2010;4813;ovins ou caprins;252;9765,24;20464,442;449,5967261;22095,41511
2010;4840;équidés et/ou autres herbivores;15;471,47;910,176;17,415284;953,34448
2010;5100;porcins;-999;-999;-999;-999;-999
2010;5200;volailles;9;168,83;967,477;15,7058961;2844,78778
2010;5374;combinaisons de granivores (porcins, volailles);6;164,61;819,136;10,25;760,90205
2010;6184;polyculture et/ou polyélevage;14;341,54;1049,57;28,07369;1371,18405
2020;1500;céréales et/ou oléoprotéagineux;-999;-999;0;-999;-999
2020;1600;autres grandes cultures;11;117,69;0;6,4384921;4,05751
2020;2800;légumes ou champignons;4;53,25;0;9,925;293,38772
2020;2900;fleurs et/ou horticulture diverse;-999;-999;-999;-999;-999
2020;3500;viticulture;-999;-999;-999;-999;-999
2020;3900;fruits ou autres cultures permanentes;-999;-999;0;-999;-999
2020;4500;bovins lait;9;348,14;560,71;9,6936508;745,79755
2020;4600;bovins viande;52;1408,81;2441,099;50,3249206;2064,66905
2020;4700;bovins mixtes;3;159,15;259,94;6;243,9273
2020;4813;ovins ou caprins;232;10128,11;20999,774;372,4611905;22281,37709
2020;4840;équidés et/ou autres herbivores;20;625,5;1452,99;24,75;1631,55905
2020;5100;porcins;-999;-999;-999;-999;-999
2020;5200;volailles;5;57,42;434,414;5,625;1307,35078
2020;5374;combinaisons de granivores (porcins, volailles);4;203,71;469,736;9,625;517,27219
2020;6184;polyculture et/ou polyélevage;7;163,74;210,99;8,75;363,048
