lib;2010_n;2020_n;evol;part
nombre total d'exploitations;386;356;-0,0777202072538861;1
agriculture biologique;4;23;4,75;0,0646067415730337
autres signes officiels de qualité (yc vin et hors bio)  dont;225;219;-0,0266666666666666;0,615168539325843
  AOP;208;192;-0,0769230769230769;0,539325842696629
  IGP;6;32;4,33333333333333;0,0898876404494382
  Label rouge;141;99;-0,297872340425532;0,27808988764045
activités de transformation (hors vinification à la ferme)  dont;22;54;1,45454545454546;0,151685393258427
  transformation de lait;15;27;0,8;0,0758426966292135
  transformation ou découpe de viande;;24;;0,0674157303370786
  transformation de fruits et/ou légumes;;8;;0,0224719101123595
activités de diversification  dont;27;49;0,814814814814815;0,137640449438202
  travail à façon;3;15;4;0,0421348314606742
  tourisme - hébergement - loisirs;20;18;-0,1;0,050561797752809
  énergie renouvelable (pour la vente);3;17;4,66666666666667;0,047752808988764
circuits courts (hors vin)  dont;43;68;0,581395348837209;0,191011235955056
  vente directe (hors vin);38;60;0,578947368421053;0,168539325842697
