lib;2010_n;2020_n;evol;part
nombre total d'exploitations;576;508;-0,118055555555556;1
agriculture biologique;12;36;2;0,0708661417322835
autres signes officiels de qualité (yc vin et hors bio)  dont;207;183;-0,115942028985507;0,360236220472441
  AOP;177;145;-0,180790960451977;0,285433070866142
  IGP;15;29;0,933333333333333;0,0570866141732283
  Label rouge;83;63;-0,240963855421687;0,124015748031496
activités de transformation (hors vinification à la ferme)  dont;31;59;0,903225806451613;0,116141732283465
  transformation de lait;23;26;0,130434782608696;0,0511811023622047
  transformation ou découpe de viande;;36;;0,0708661417322835
  transformation de fruits et/ou légumes;;8;;0,015748031496063
activités de diversification  dont;38;57;0,5;0,112204724409449
  travail à façon;3;26;7,66666666666667;0,0511811023622047
  tourisme - hébergement - loisirs;25;21;-0,16;0,0413385826771654
  énergie renouvelable (pour la vente);-999;6;-999;0,0118110236220472
circuits courts (hors vin)  dont;79;100;0,265822784810127;0,196850393700787
  vente directe (hors vin);72;90;0,25;0,177165354330709
