annee;otefdd_coef17;lib_oteft;n_exploit;sau_ha;ugb;etp;pbs
2010;1500;céréales et/ou oléoprotéagineux;22;386,46;-999;8,6708515;317,32692
2010;1600;autres grandes cultures;23;342,33;0,546;14,9014592;39,35405
2010;2800;légumes ou champignons;3;10,82;0;2,875;109,63248
2010;2900;fleurs et/ou horticulture diverse;3;-999;-999;3,1592796;165,20201
2010;3900;fruits ou autres cultures permanentes;3;72,12;-999;3,9186681;321,60773
2010;4500;bovins lait;9;456,05;774,757;16,1549496;1146,48703
2010;4600;bovins viande;175;5136,31;6991,73;172,3565555;5748,64561
2010;4700;bovins mixtes;3;164,74;311,652;4,3870087;316,80628
2010;4813;ovins ou caprins;396;14784,29;26825,025;626,3923436;28517,64948
2010;4840;équidés et/ou autres herbivores;51;1196,91;1947,353;44,9284826;2000,78648
2010;5100;porcins;-999;-999;-999;-999;-999
2010;5200;volailles;10;129,45;254,502;9,2123362;879,262076
2010;5374;combinaisons de granivores (porcins, volailles);8;146,97;240,957;13,0262009;339,06005
2010;6184;polyculture et/ou polyélevage;37;866,16;1205,892;45,8138673;2325,1782
2010;9000;non classées;-999;-999;0;-999;-999
2020;1500;céréales et/ou oléoprotéagineux;20;504,65;60,64;15,4952381;482,05288
2020;1600;autres grandes cultures;31;484,41;0;14,8207143;-999
2020;2800;légumes ou champignons;-999;-999;0;-999;-999
2020;2900;fleurs et/ou horticulture diverse;-999;-999;-999;-999;-999
2020;3900;fruits ou autres cultures permanentes;3;-999;-999;3,125;197,11864
2020;4500;bovins lait;6;328,72;544,65;10,9723016;790,86665
2020;4600;bovins viande;128;4578,47;5649,125;152,638254;4630,81321
2020;4700;bovins mixtes;8;232,02;403,36;9,5;394,63531
2020;4813;ovins ou caprins;324;14264,95;24599,821;562,2784921;25984,31428
2020;4840;équidés et/ou autres herbivores;41;1161,84;1577,765;49,8416667;1692,77947
2020;5200;volailles;11;251,89;839,753;27,2911111;2200,16925
2020;5374;combinaisons de granivores (porcins, volailles);5;166,55;294,98;19,6427778;517,47285
2020;6184;polyculture et/ou polyélevage;21;1055,67;1020,783;41,1857143;2625,02138
