lib;2010_n;2010_surf;2010_irri;2020_n;2020_surf;2020_irri;2020_nbio;2020_surfbio;part
total SAU  dont;385;6857,96;5,91;310;6452,74;57,5;38;627,75;0,0972842544407492
céréales;93;469,78;0;78;492,13;0;7;26,86;0,054579074634751
oléagineux;-999;-999;0;0;0;0;0;0;
protéagineux et légumes secs pour leur graine;-999;-999;0;-999;-999;0;0;0;0
plantes à fibres et plantes industrielles diverses;0;0;0;0;0;0;0;0;
plantes à parfum, aromatiques, médicinales;14;14,13;-999;28;42,57;0,08;8;14,42;0,338736199201315
pommes de terre;13;3,66;-999;8;4,58;-999;-999;-999;-999
légumes frais, plants de légumes, melons ou fraises;22;20,64;5;34;48,71;15,56;15;25,18;0,516936973927325
fourrages annuels;106;778,77;0;54;400,42;-999;4;11,32;0,0282703161680236
prairies;362;5526,55;0;292;5396,65;-999;31;539,2;0,0999138354349458
fleurs et plantes ornementales;3;1,02;-999;-999;-999;-999;0;0;0
vignes;5;3,29;0;3;2,01;0;-999;-999;-999
cultures fruitières;5;7,8;-999;10;14,87;0;6;10,17;0,683927370544721
jachères;5;17,6;;21;39,34;0;-999;-999;-999
